DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Monarch,238971,UT,DS,1,0,1,,,17:26:01 07-Feb-2025,CS,,,,,,,,401650000,-139
Monarch,238971,UT,DS,1,0,1,,,19:14:05 07-Feb-2025,CS,,,,,,,,401650000,-140
Monarch,238971,UT,DS,1,0,1,,,19:25:54 07-Feb-2025,NK,,,,,,,,401650000,-128
Monarch,238971,UT,DS,1,0,1,,,20:06:26 07-Feb-2025,SR,,,,,,,,401650000,-133
Monarch,238971,UT,DS,1,0,1,,,20:15:58 07-Feb-2025,MB,,,,,,,,401650000,-128
Monarch,238971,UT,DS,2,0,2,380,380,20:56:27 07-Feb-2025,NP,,,,,,,,401650000,-120
Monarch,238971,UT,DS,1,0,1,,,21:12:22 07-Feb-2025,MC,,,,,,,,401650000,-112
Monarch,238971,UT,DS,1,0,1,,,22:55:10 07-Feb-2025,NN,,,,,,,,401650000,-125
Monarch,238971,UT,DS,1,0,1,,,22:55:10 07-Feb-2025,MC,,,,,,,,401650000,-125
Monarch,238971,UT,DS,1,0,0,,,00:37:19 08-Feb-2025,NN,,,,,,,,401650000,-133
Monarch,238971,UT,DS,1,0,1,,,10:49:59 08-Feb-2025,NP,,,,,,,,401650000,-127
Monarch,238971,UT,DS,1,0,0,,,11:03:49 08-Feb-2025,MC,,,,,,,,401650000,-113
Monarch,238971,UT,DS,1,0,0,,,11:47:50 08-Feb-2025,MB,,,,,,,,401650000,-130
Monarch,238971,UT,DS,2,0,1,182,182,12:41:36 08-Feb-2025,MC,,,,,,,,401650000,-127
Monarch,238971,UT,DS,1,0,1,,,12:47:47 08-Feb-2025,O3,,,,,,,,401650000,-124
Monarch,238971,UT,DS,2,0,2,175,175,12:50:38 08-Feb-2025,NN,,,,,,,,401650000,-124
Monarch,238971,UT,DS,1,0,1,,,15:15:21 08-Feb-2025,CS,,,,,,,,401650000,-126
Monarch,238971,UT,DS,1,0,1,,,16:55:36 08-Feb-2025,CS,,,,,,,,401650000,-134
Monarch,238971,UT,DS,1,0,0,,,19:33:08 08-Feb-2025,SR,,,,,,,,401650000,-131
Monarch,238971,UT,DS,1,0,1,,,21:31:07 08-Feb-2025,MB,,,,,,,,401650000,-132
Monarch,238971,UT,DS,1,0,1,,,01:39:49 09-Feb-2025,O3,,,,,,,,401650000,-135
Monarch,238971,UT,DS,1,0,0,,,06:35:45 09-Feb-2025,CS,,,,,,,,401650000,-130
Monarch,238971,UT,DS,1,0,1,,,06:54:44 09-Feb-2025,SR,,,,,,,,401650000,-132
Monarch,238971,UT,DS,1,0,1,,,09:45:17 09-Feb-2025,MB,,,,,,,,401650000,-131
Monarch,238971,UT,DS,2,0,1,195,195,10:46:15 09-Feb-2025,MC,,,,,,,,401650000,-127
Monarch,238971,UT,DS,1,0,0,,,10:46:15 09-Feb-2025,NP,,,,,,,,401650000,-133
Monarch,238971,UT,DS,6,0,6,120,47,11:29:50 09-Mar-2025,NP,3,50.7518,-6.3088,50.7518,-6.3088,50,,401677856,-129
Monarch,238971,UT,DS,2,0,2,178,178,11:44:40 09-Mar-2025,NN,B,50.7555,-6.3080,50.7555,-6.3080,6,,401677862,-121
Monarch,238971,UT,DS,1,0,0,,,13:27:52 09-Mar-2025,NN,B,50.7580,-6.3083,50.7580,-6.3083,8,,401677856,-127
Monarch,238971,UT,DS,1,0,1,,,19:41:01 09-Mar-2025,NK,B,50.7629,-6.3129,50.7629,-6.3129,8,,401677860,-131
Monarch,238971,UT,DS,4,0,2,249,136,21:18:46 09-Mar-2025,NP,0,50.7430,-6.4155,50.7430,-6.4155,58,,401677856,-125
Monarch,238971,UT,DS,2,0,2,49,49,21:27:39 09-Mar-2025,NK,B,50.7475,-6.3917,50.7475,-6.3917,6,,401677857,-133
Monarch,238971,UT,DS,8,0,5,71,45,21:33:45 09-Mar-2025,MB,3,50.7520,-6.3719,50.7520,-6.3719,56,,401677854,-127
Monarch,238971,UT,DS,3,0,2,205,90,21:34:08 09-Mar-2025,NN,A,50.7519,-6.3703,50.7519,-6.3703,6,,401677857,-123
Monarch,238971,UT,DS,15,0,6,48,45,22:25:45 09-Mar-2025,MC,3,50.7515,-6.3742,50.7515,-6.3742,58,,401677855,-120
Monarch,238971,UT,DS,9,0,3,77,45,23:01:16 09-Mar-2025,NP,3,50.7508,-6.3742,50.7508,-6.3742,58,,401677856,-130
Monarch,238971,UT,DS,10,0,6,50,45,23:14:43 09-Mar-2025,NN,3,50.7516,-6.3727,50.7516,-6.3727,56,,401677856,-127
Monarch,238971,UT,DS,10,0,5,75,45,23:23:16 09-Mar-2025,O3,3,50.7501,-6.3723,50.7501,-6.3723,56,,401677856,-123
Monarch,238971,UT,DS,2,0,0,47,47,06:27:03 10-Mar-2025,CS,B,50.7679,-6.4195,50.7679,-6.4195,8,,401677858,-121
Monarch,238971,UT,DS,1,0,0,,,06:27:27 10-Mar-2025,SR,B,50.7323,-6.4407,50.7323,-6.4407,8,,401677854,-127
Monarch,238971,UT,DS,3,0,2,281,91,09:41:13 10-Mar-2025,NK,A,50.7421,-6.4401,50.7421,-6.4401,8,,401677857,-128
Monarch,238971,UT,DS,1,0,1,,,09:41:13 10-Mar-2025,NP,B,50.7392,-6.4311,50.7392,-6.4311,,,401677856,-127
Monarch,238971,UT,DS,1,0,0,,,10:42:34 10-Mar-2025,MC,B,50.7417,-6.4389,50.7417,-6.4389,8,,401677857,-124
Monarch,238971,UT,DS,2,0,0,47,47,13:09:55 10-Mar-2025,NN,B,50.7414,-6.4514,50.7414,-6.4514,8,,401677856,-124
Monarch,238971,UT,DS,5,0,4,108,50,20:14:41 10-Mar-2025,SR,1,50.7342,-6.4901,50.7342,-6.4901,58,,401677855,-126
Monarch,238971,UT,DS,1,0,1,,,20:26:22 10-Mar-2025,MC,B,50.7397,-6.4967,50.7397,-6.4967,6,,401677857,-124
Monarch,238971,UT,DS,1,0,0,,,21:25:05 10-Mar-2025,NN,B,50.7394,-6.5054,50.7394,-6.5054,8,,401677857,-124
Monarch,238971,UT,DS,1,0,1,,,01:57:16 11-Mar-2025,O3,B,50.7394,-6.5376,50.7394,-6.5376,8,,401677858,-136
Monarch,238971,UT,DS,1,0,1,,,05:50:21 11-Mar-2025,CS,B,50.7409,-6.5474,50.7409,-6.5474,8,,401677853,-133
Monarch,238971,UT,DS,3,0,2,204,199,05:59:43 11-Mar-2025,SR,A,50.7603,-6.5047,50.7603,-6.5047,8,,401677854,-122
Monarch,238971,UT,DS,4,0,3,63,45,07:26:50 11-Mar-2025,CS,0,50.7539,-6.5287,50.7539,-6.5287,58,,401677856,-134
Monarch,238971,UT,DS,8,0,7,65,45,07:29:37 11-Mar-2025,NK,3,50.7546,-6.5436,50.7546,-6.5436,56,,401677857,-121
Monarch,238971,UT,DS,3,0,2,87,49,07:37:27 11-Mar-2025,SR,A,50.7553,-6.5456,50.7553,-6.5456,6,,401677855,-133
Monarch,238971,UT,DS,1,0,1,,,09:01:36 11-Mar-2025,CS,B,50.7533,-6.5705,,,8,,401677865,-136
Monarch,238971,UT,DS,1,0,1,,,09:30:31 11-Mar-2025,NP,B,50.7528,-6.5633,,,6,,401677863,-136
Monarch,238971,UT,DS,2,0,2,336,336,10:20:35 11-Mar-2025,MC,B,50.7395,-6.5726,50.7395,-6.5726,8,,401677866,-120
Monarch,238971,UT,DS,1,0,1,,,14:38:06 11-Mar-2025,NN,B,50.7211,-6.6021,50.7211,-6.6021,8,,401677859,-137
Monarch,238971,UT,DS,1,0,1,,,18:54:43 11-Mar-2025,NK,B,50.7346,-6.5931,50.7346,-6.5931,8,,401677865,-126
