DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Monarch,238971,UT,17:26:01 07-Feb-2025,,,,,,CRC,,Fast-GPS,201,28,254,126,24,69,18,162,142,13,134,133,42,194,15,184,49,146,96,49,74,174,28,146,125,244,236,,,,,
Monarch,238971,UT,19:14:05 07-Feb-2025,,,,,,CRC a945.b207,15:00:00 07-Feb-2025,CumulativeDist,21,49,17,68,142,240,0,15,130,2,2,91,2,64,124,27,58,106,3,165,104,22,109,209,221,41,5,,,,,
Monarch,238971,UT,19:25:54 07-Feb-2025,,,,,,CRC,15:58:28 07-Feb-2025,Fast-GPS,201,29,253,56,149,38,205,75,101,216,228,255,46,129,118,158,40,236,113,197,225,18,130,15,27,58,126,,,,,
Monarch,238971,UT,20:06:26 07-Feb-2025,,,,,,CRC,15:58:28 07-Feb-2025,Fast-GPS,201,29,253,56,149,38,205,75,101,184,65,88,124,235,24,189,231,147,84,72,67,200,62,12,79,98,26,,,,,
Monarch,238971,UT,20:15:58 07-Feb-2025,,,,,,CRC,16:00:16 07-Feb-2025,Fast-GPS,201,30,0,32,220,193,125,31,176,67,247,224,99,108,28,220,146,149,255,85,161,87,238,164,122,31,200,,,,,
Monarch,238971,UT,20:56:27 07-Feb-2025,,,,,,CRC,16:00:16 07-Feb-2025,Fast-GPS,201,30,0,32,220,193,125,31,163,174,13,166,221,59,0,115,241,44,137,243,226,247,244,136,44,25,248,,,,,
Monarch,238971,UT,21:02:47 07-Feb-2025,,,,,,CRC 2c09.bc56,,,5,145,2,69,178,200,140,136,22,37,242,189,61,116,151,0,132,227,240,146,152,58,97,34,96,104,176,176,255,46,64,
Monarch,238971,UT,21:12:22 07-Feb-2025,,,,,,CRC,19:43:03 07-Feb-2025,Fast-GPS,105,30,117,134,21,106,64,243,242,199,102,239,16,49,68,251,61,247,120,57,210,192,62,,,,,,,,,
Monarch,238971,UT,22:55:10 07-Feb-2025,,,,,,CRC a945.138b,15:00:00 07-Feb-2025,CumulativeDist,21,49,17,68,142,240,0,15,130,2,10,90,155,11,141,30,188,80,177,174,115,177,208,6,76,14,224,,,,,
Monarch,238971,UT,22:55:10 07-Feb-2025,,,,,,CRC a945.2bfe,15:00:00 07-Feb-2025,CumulativeDist,21,49,17,68,142,240,0,15,130,7,0,87,163,114,196,14,49,67,233,3,251,217,245,236,213,165,124,,,,,
