DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Monarch,238971,Transmission,UT,01:00:00 09-Feb-2025,02:00:00 09-Feb-2025,depth,shallow,0.000000,15.7,549,585,22,,1.000000,,,2.000000,,5.000000
Monarch,238971,Transmission,UT,01:00:00 09-Feb-2025,02:00:00 09-Feb-2025,depth,deep,,77.2,2760,2796,22,16.000000,,19.000000,20.000000,,21.000000,25.000000
Monarch,238971,Transmission,UT,01:00:00 09-Feb-2025,02:00:00 09-Feb-2025,depth,dry,,7.1,238,274,,,,,,,,
Monarch,238971,Transmission,UT,02:00:00 09-Feb-2025,03:00:00 09-Feb-2025,depth,shallow,0.000000,71.7,2562,2598,10,,1.000000,,,1.000000,,5.000000
Monarch,238971,Transmission,UT,02:00:00 09-Feb-2025,03:00:00 09-Feb-2025,depth,deep,,26.0,917,953,10,8.000000,,10.000000,13.000000,,18.000000,23.000000
Monarch,238971,Transmission,UT,02:00:00 09-Feb-2025,03:00:00 09-Feb-2025,depth,dry,,2.3,65,101,,,,,,,,
Monarch,238971,Transmission,UT,17:00:00 28-Feb-2025,18:00:00 28-Feb-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,17:00:00 28-Feb-2025,18:00:00 28-Feb-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,17:00:00 28-Feb-2025,18:00:00 28-Feb-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,18:00:00 28-Feb-2025,19:00:00 28-Feb-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,18:00:00 28-Feb-2025,19:00:00 28-Feb-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,18:00:00 28-Feb-2025,19:00:00 28-Feb-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,21:00:00 28-Feb-2025,22:00:00 28-Feb-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,21:00:00 28-Feb-2025,22:00:00 28-Feb-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,21:00:00 28-Feb-2025,22:00:00 28-Feb-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,22:00:00 28-Feb-2025,23:00:00 28-Feb-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,22:00:00 28-Feb-2025,23:00:00 28-Feb-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,22:00:00 28-Feb-2025,23:00:00 28-Feb-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,23:00:00 28-Feb-2025,00:00:00 01-Mar-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,23:00:00 28-Feb-2025,00:00:00 01-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,23:00:00 28-Feb-2025,00:00:00 01-Mar-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,00:00:00 01-Mar-2025,01:00:00 01-Mar-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,00:00:00 01-Mar-2025,01:00:00 01-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,00:00:00 01-Mar-2025,01:00:00 01-Mar-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,03:00:00 01-Mar-2025,04:00:00 01-Mar-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,03:00:00 01-Mar-2025,04:00:00 01-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,03:00:00 01-Mar-2025,04:00:00 01-Mar-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,04:00:00 01-Mar-2025,05:00:00 01-Mar-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,04:00:00 01-Mar-2025,05:00:00 01-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,04:00:00 01-Mar-2025,05:00:00 01-Mar-2025,depth,dry,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,05:00:00 01-Mar-2025,06:00:00 01-Mar-2025,depth,shallow,0.000000,100.0,3600,3600,0,,1.000000,,,1.000000,,1.000000
Monarch,238971,Transmission,UT,05:00:00 01-Mar-2025,06:00:00 01-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Monarch,238971,Transmission,UT,05:00:00 01-Mar-2025,06:00:00 01-Mar-2025,depth,dry,,0.0,0,0,,,,,,,,
