DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Monarch,238971,UT,15:01:03 07-Feb-2025,User,,50.0916,-5.2020,,,,,,,,,,
Monarch,238971,UT,11:29:50 09-Mar-2025,Argos,3,50.7518,-6.3088,181,657,49,102,,,,,,
Monarch,238971,UT,11:44:40 09-Mar-2025,Argos,B,50.7555,-6.3080,622,9806,39,96,,,,,,
Monarch,238971,UT,13:27:52 09-Mar-2025,Argos,B,50.7580,-6.3083,2073,3756,1143,90,,,,,,
Monarch,238971,UT,19:41:01 09-Mar-2025,Argos,B,50.7629,-6.3129,2884,4656,1786,85,,,,,,
Monarch,238971,UT,21:18:46 09-Mar-2025,Argos,0,50.7430,-6.4155,6536,465277,91,79,,,,,,
Monarch,238971,UT,21:27:39 09-Mar-2025,Argos,B,50.7475,-6.3917,2353,8981,616,78,,,,,,
Monarch,238971,UT,21:33:45 09-Mar-2025,Argos,3,50.7520,-6.3719,244,767,77,86,,,,,,
Monarch,238971,UT,21:34:08 09-Mar-2025,Argos,A,50.7519,-6.3703,232,689,77,84,,,,,,
Monarch,238971,UT,22:25:45 09-Mar-2025,Argos,3,50.7515,-6.3742,112,318,39,105,,,,,,
Monarch,238971,UT,23:01:16 09-Mar-2025,Argos,3,50.7508,-6.3742,164,226,118,91,,,,,,
Monarch,238971,UT,23:14:43 09-Mar-2025,Argos,3,50.7516,-6.3727,130,260,65,79,,,,,,
Monarch,238971,UT,23:23:16 09-Mar-2025,Argos,3,50.7501,-6.3723,112,338,36,71,,,,,,
Monarch,238971,UT,06:27:03 10-Mar-2025,Argos,B,50.7679,-6.4195,2461,78725,76,105,,,,,,
Monarch,238971,UT,06:27:27 10-Mar-2025,Argos,B,50.7323,-6.4407,3649,6301,2113,74,,,,,,
Monarch,238971,UT,09:41:13 10-Mar-2025,Argos,A,50.7421,-6.4401,249,546,113,163,,,,,,
Monarch,238971,UT,09:41:13 10-Mar-2025,Argos,B,50.7392,-6.4311,2651,4547,1545,75,,,,,,
Monarch,238971,UT,10:42:34 10-Mar-2025,Argos,B,50.7417,-6.4389,2124,7096,635,92,,,,,,
Monarch,238971,UT,13:09:55 10-Mar-2025,Argos,B,50.7414,-6.4514,2018,19136,212,104,,,,,,
Monarch,238971,UT,20:14:41 10-Mar-2025,Argos,1,50.7342,-6.4901,537,971,297,109,,,,,,
Monarch,238971,UT,20:26:22 10-Mar-2025,Argos,B,50.7397,-6.4967,1695,2669,1076,94,,,,,,
Monarch,238971,UT,21:25:05 10-Mar-2025,Argos,B,50.7394,-6.5054,4499,6785,2982,87,,,,,,
Monarch,238971,UT,01:57:16 11-Mar-2025,Argos,B,50.7394,-6.5376,8199,15182,4427,97,,,,,,
Monarch,238971,UT,05:50:21 11-Mar-2025,Argos,B,50.7409,-6.5474,3110,6316,1531,98,,,,,,
Monarch,238971,UT,05:59:43 11-Mar-2025,Argos,A,50.7603,-6.5047,121,364,40,90,,,,,,
Monarch,238971,UT,07:26:50 11-Mar-2025,Argos,0,50.7539,-6.5287,2837,31907,252,97,,,,,,
Monarch,238971,UT,07:29:37 11-Mar-2025,Argos,3,50.7546,-6.5436,94,229,38,74,,,,,,
Monarch,238971,UT,07:37:27 11-Mar-2025,Argos,A,50.7553,-6.5456,324,641,163,120,,,,,,
Monarch,238971,UT,09:01:36 11-Mar-2025,Argos,B,50.7533,-6.5705,2327,4003,1352,104,,,,,,
Monarch,238971,UT,09:30:31 11-Mar-2025,Argos,B,50.7528,-6.5633,1977,3670,1064,99,,,,,,
Monarch,238971,UT,10:20:35 11-Mar-2025,Argos,B,50.7395,-6.5726,1408,67014,29,86,,,,,,
Monarch,238971,UT,14:38:06 11-Mar-2025,Argos,B,50.7211,-6.6021,2349,4681,1178,95,,,,,,
Monarch,238971,UT,18:54:43 11-Mar-2025,Argos,B,50.7346,-6.5931,2652,14706,478,85,,,,,,
Monarch,238971,UT,19:45:23 11-Mar-2025,Argos,B,50.7335,-6.6220,3103,23281,413,84,,,,,,
Monarch,238971,UT,21:45:16 11-Mar-2025,Argos,B,50.7319,-6.6365,3422,15171,771,84,,,,,,
Monarch,238971,UT,05:22:21 12-Mar-2025,Argos,B,50.7239,-6.7051,4044,8925,1832,87,,,,,,
Monarch,238971,UT,00:26:12 13-Mar-2025,Argos,B,50.6241,-6.9243,4927,27622,878,97,,,,,,
Monarch,238971,UT,06:37:12 13-Mar-2025,Argos,B,50.6026,-6.8096,6119,25022,1496,99,,,,,,
Monarch,238971,UT,11:23:24 13-Mar-2025,Argos,B,50.5688,-6.8149,6089,34164,1085,96,,,,,,
Monarch,238971,UT,18:00:10 13-Mar-2025,Argos,B,50.5245,-6.7976,5762,34306,967,89,,,,,,
