DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Purple,238969,UT,DS,3,0,0,46,45,20:26:56 09-Jan-2025,SR,,,,,,,,401650000,-131
Purple,238969,UT,DS,1,0,1,,,21:10:44 09-Jan-2025,MC,,,,,,,,401650000,-124
Purple,238969,UT,DS,2,0,1,45,45,21:53:00 09-Jan-2025,MB,,,,,,,,401650000,-134
Purple,238969,UT,DS,1,0,0,,,22:00:01 09-Jan-2025,NP,,,,,,,,401650000,-125
Purple,238969,UT,DS,1,0,0,,,01:25:17 10-Jan-2025,O3,,,,,,,,401650000,-134
Purple,238969,UT,DS,1,0,0,,,05:42:43 10-Jan-2025,CS,,,,,,,,401650000,-134
Purple,238969,UT,DS,1,0,0,,,06:08:03 10-Jan-2025,SR,,,,,,,,401650000,-120
Purple,238969,UT,DS,2,0,0,190,190,07:17:04 10-Jan-2025,CS,,,,,,,,401650000,-122
Purple,238969,UT,DS,1,0,1,,,10:08:45 10-Jan-2025,MB,,,,,,,,401650000,-134
Purple,238969,UT,DS,2,0,1,210,210,10:16:26 10-Jan-2025,NP,,,,,,,,401650000,-127
Purple,238969,UT,DS,3,0,1,252,89,11:04:43 10-Jan-2025,MC,A,50.0958,-5.1873,52.3386,-18.3040,,,401677489,-122
Purple,238969,UT,DS,2,0,0,69,69,11:55:16 10-Jan-2025,NP,B,50.0934,-5.1889,50.0934,-5.1889,8,,401677493,-127
Purple,238969,UT,DS,1,0,1,,,12:42:48 10-Jan-2025,MC,B,50.0930,-5.1893,50.0930,-5.1893,8,,401677492,-132
Purple,238969,UT,DS,1,0,1,,,13:23:05 10-Jan-2025,O3,B,50.0915,-5.1912,50.0915,-5.1912,8,,401677494,-128
Purple,238969,UT,DS,3,0,1,170,98,16:55:23 10-Jan-2025,CS,A,49.0882,-10.7651,50.0918,-5.1978,,,401677481,-119
Purple,238969,UT,DS,1,0,0,,,00:40:47 11-Jan-2025,O3,B,50.0568,-5.2152,50.0568,-5.2152,8,,401677479,-130
Purple,238969,UT,DS,1,0,1,,,05:37:04 11-Jan-2025,SR,B,50.0810,-5.2423,50.0810,-5.2423,8,,401677483,-126
Purple,238969,UT,DS,2,0,1,67,67,06:35:21 11-Jan-2025,CS,B,50.0943,-5.2201,50.0943,-5.2201,8,,401677477,-123
Purple,238969,UT,DS,1,0,1,,,07:18:27 11-Jan-2025,SR,B,50.0962,-5.2084,50.0962,-5.2084,8,,401677481,-134
Purple,238969,UT,DS,1,0,0,,,08:09:18 11-Jan-2025,NK,B,50.0938,-5.2110,50.0938,-5.2110,8,,401677483,-121
Purple,238969,UT,DS,1,0,0,,,10:42:19 11-Jan-2025,MC,B,50.0915,-5.2086,50.0915,-5.2086,8,,401677486,-116
