Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Purple,09-Jan-2025,16:14:16,1,5165222.000000,,,0,6,,,,,,,,,,,,,,,15,31,13330,,,,26,705,,,,28,4983,,,,29,23078,,,,18,26758,,,,16,14337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,09-Jan-2025,17:00:22,2,4222807.000000,,,0,4,,,,,,,,,,,,,,,15,18,21142,,,,26,17074,,,,27,16374,,,,16,7860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Jan-2025,01:12:19,1,,,,0,4,,,,,,,,,,,,,,,15,19,12101,,,,17,30684,,,,9,28041,,,,4,6317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Jan-2025,03:20:13,1,,,,0,4,,,,,,,,,,,,,,,15,6,1688,,,,20,25382,,,,19,4182,,,,11,5021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Jan-2025,04:00:01,1,,,,0,4,,,,,,,,,,,,,,,15,9,20977,,,,20,1408,,,,11,3941,,,,7,22299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Jan-2025,05:00:53,1,,,,0,4,,,,,,,,,,,,,,,15,5,1122,,,,11,20986,,,,7,16110,,,,13,26802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Jan-2025,08:15:35,1,,,,0,6,,,,,,,,,,,,,,,15,22,2693,,,,14,32156,,,,23,13985,,,,13,22578,,,,24,22636,,,,30,16321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Jan-2025,10:30:44,1,,,,0,5,,,,,,,,,,,,,,,15,24,17544,,,,23,30399,,,,12,10948,,,,15,19209,,,,10,10804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Jan-2025,15:03:06,1,,,,0,4,,,,,,,,,,,,,,,15,29,27991,,,,25,29956,,,,31,3319,,,,26,12272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,11-Jan-2025,07:10:34,1,,,,0,4,,,,,,,,,,,,,,,15,5,21358,,,,14,10854,,,,13,28608,,,,18,13670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
