DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 29-Jan-2025,0.000000,1,,,,,24,,100,100,100,100,100,100,100,50,20,50,50,10,10,10,10,10,10,70,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 30-Jan-2025,0.000000,1,,,,,24,,100,100,10,10,10,10,20,3,3,10,10,10,10,10,10,3,60,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 01-Feb-2025,0.000000,1,,,,,24,,100,100,100,100,100,100,40,10,30,30,10,3,10,20,10,3,10,20,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 04-Feb-2025,0.000000,1,,,,,24,,100,100,100,100,100,98,20,10,10,10,10,70,20,3,3,3,3,10,40,50,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 05-Feb-2025,0.000000,1,,,,,24,,100,100,100,100,100,30,10,10,10,10,10,10,10,10,10,20,10,20,80,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 06-Feb-2025,0.000000,1,,,,,24,,100,100,100,100,100,100,20,10,3,20,10,20,20,20,10,20,10,10,80,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 07-Feb-2025,0.000000,1,,,,,24,,100,100,100,100,100,50,30,10,10,90,100,100,100,100,100,70,10,3,3,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 26-Feb-2025,0.000000,1,,,,,24,,100,100,100,100,98,10,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 27-Feb-2025,0.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,3,50,3,50,30,3,3,3,20,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 28-Feb-2025,0.000000,1,,,,,24,,100,100,100,60,3,3,10,10,10,3,3,3,3,3,3,3,3,10,10,3,10,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 01-Mar-2025,0.000000,1,,,,,24,,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 13-Mar-2025,0.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 14-Mar-2025,0.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,Percent,00:00:00 15-Mar-2025,0.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
