DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,Depth21,Depth21Error,MinTemp21,MaxTemp21,%Ox21,Discont21,,,,,
Purple,238969,0.500000,Transmission,UT,10:03:00 08-Feb-2025,1.7,0.00,1,,,, ,7,,0.00,0.00,9.425,9.475,,,5.00,0.00,9.425,9.475,,,10.00,0.00,9.425,9.475,,,15.00,0.00,9.425,9.475,,,20.00,0.00,9.425,9.475,,,25.00,0.00,9.425,9.475,,,30.00,0.00,9.425,9.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,21:20:00 08-Feb-2025,1.7,0.00,3,,,, ,5,,0.00,0.00,9.875,9.925,,,5.00,0.00,9.875,9.925,,,10.00,0.00,9.925,9.975,,,15.00,0.00,9.925,9.975,,,20.00,0.00,9.975,10.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,22:01:00 08-Feb-2025,1.7,0.00,1,,,, ,4,,0.00,0.00,9.875,9.925,,,5.00,0.00,9.925,9.975,,,10.00,0.00,9.925,9.975,,,15.00,0.00,9.975,10.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,09:01:00 09-Feb-2025,1.7,0.00,1,,,, ,4,,0.00,0.00,9.675,9.725,,,5.00,0.00,9.675,9.725,,,10.00,0.00,9.625,9.675,,,15.00,0.00,9.625,9.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,19:15:00 10-Feb-2025,1.7,0.00,1,,,, ,3,,0.00,0.00,9.675,9.725,,,5.00,0.00,9.725,9.775,,,10.00,0.00,9.725,9.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,20:00:00 10-Feb-2025,1.7,0.00,1,,,, ,3,,0.00,0.00,9.725,9.775,,,5.00,0.00,9.725,9.775,,,10.00,0.00,9.725,9.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,19:01:00 11-Feb-2025,16.7,0.00,2,,,, ,3,,0.00,0.00,9.425,9.475,,,5.00,0.00,9.425,9.475,,,10.00,0.00,9.375,9.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,05:49:00 12-Feb-2025,16.7,0.00,2,,,, ,5,,0.00,0.00,9.075,9.125,,,5.00,0.00,9.025,9.075,,,10.00,0.00,9.075,9.125,,,15.00,0.00,9.075,9.125,,,20.00,0.00,9.075,9.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,06:01:00 12-Feb-2025,1.7,0.00,1,,,, ,5,,0.00,0.00,9.125,9.175,,,5.00,0.00,9.125,9.175,,,10.00,0.00,9.125,9.175,,,15.00,0.00,9.075,9.125,,,20.00,0.00,9.075,9.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,16:37:00 13-Feb-2025,16.7,0.00,1,,,, ,7,,0.00,0.00,9.775,9.825,,,5.00,0.00,9.775,9.825,,,10.00,0.00,9.775,9.825,,,15.00,0.00,9.775,9.825,,,20.00,0.00,9.775,9.825,,,25.00,0.00,9.775,9.825,,,30.00,0.00,9.775,9.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
