DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Purple,238969,0.500000,UT,,07:17:40 13-Jan-2025,07:17:40 13-Jan-2025,0,B,50.0972,-5.2031,CRC,,,,1266,3.400,,,8.30,-0.5,,,,,,,,,,,,,230,28,255,42,,,,,,,30,142,100,0,26,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,06:27:01 22-Jan-2025,06:27:01 22-Jan-2025,0,B,50.1209,-5.1804,CRC,,,,3541,3.425,,,8.35,-0.5,,,,,,,,,,,,,218,25,255,41,,,,,,,26,487,339,0,39,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,10:01:32 22-Jan-2025,10:01:32 22-Jan-2025,0,B,50.1031,-5.1899,CRC,,,,3566,3.400,,,8.00,-0.5,,,,,,,,,,,,,151,25,255,41,,,,,,,32,490,341,0,27,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,12:14:05 26-Jan-2025,12:14:06 26-Jan-2025,1,B,50.0877,-5.1932,CRC,,,,4691,3.375,,,8.50,-1.0,,,,,,,,,,,,,107,24,255,41,,,,,,,42,639,432,0,33,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,11:46:20 27-Jan-2025,11:46:20 27-Jan-2025,0,B,50.0595,-5.0974,CRC,,,,4941,3.375,,,8.05,-1.0,,,,,,,,,,,,,209,25,255,41,,,,,,,32,677,459,0,13,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,21:37:10 27-Jan-2025,21:37:10 27-Jan-2025,0,B,50.0914,-5.1979,CRC,,,,5066,3.375,,,8.40,-0.5,,,,,,,,,,,,,213,25,255,41,,,,,,,42,689,463,0,14,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,00:42:02 08-Feb-2025,00:42:03 08-Feb-2025,1,A,50.0484,-5.4672,CRC,,,,8116,3.350,,,9.90,0.0,,,,,,,,,,,,,166,22,255,40,,,,,,,84,1097,716,0,17,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,20:19:56 09-Feb-2025,20:19:56 09-Feb-2025,0,A,50.0760,-5.3535,CRC,,,,8466,3.375,,,9.75,0.0,,,,,,,,,,,,,202,22,255,40,,,,,,,188,1153,760,0,26,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,21:43:07 11-Feb-2025,21:43:07 11-Feb-2025,0,A,50.0836,-5.4020,CRC,,,,8841,3.350,,,9.50,0.0,,,,,,,,,,,,,167,21,255,40,,,,,,,255,1215,809,0,43,,,,,,16:00:00 09-Jan-2025,,,
Purple,238969,0.500000,UT,,06:24:14 13-Feb-2025,06:24:14 13-Feb-2025,0,2,50.0698,-5.3110,CRC,,,,9441,3.325,,,9.50,0.0,,,,,,,,,,,,,82,22,255,40,,,,,,,192,1271,849,0,15,,,,,,16:00:00 09-Jan-2025,,,
