Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Purple,07-Feb-2025,15:18:16,1,,,,0,6,50.09023,-5.22425,15:18:16 07-Feb-2025,Interpolated,50.11125,-5.43905,,2,,,23.0,0.1,,,,15,27,32126,,,,31,17770,,,,16,30442,,,,26,26721,,,,18,9544,,,,28,8609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,07-Feb-2025,16:32:16,2,,,,0,4,50.08667,-5.28163,16:32:16 07-Feb-2025,Interpolated,50.10652,-5.43578,,,,,5.6,0.4,,,,15,18,32252,,,,27,32354,,,,16,15722,,,,26,18479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,07-Feb-2025,20:10:52,1,,,,0,5,50.07555,-5.44356,20:10:52 07-Feb-2025,Interpolated,50.07598,-5.45106,,,,,4.4,-0.7,,,,15,32,28272,,,,10,5502,,,,27,13529,,,,14,20364,,,,2,12210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,07-Feb-2025,23:01:45,1,,,,0,4,50.06525,-5.45590,23:01:45 07-Feb-2025,Interpolated,50.06257,-5.45950,,,,,0.3,-0.3,,,,15,3,5478,,,,19,30554,,,,1,3230,,,,31,15066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,08-Feb-2025,06:59:16,1,,,,0,5,50.06832,-5.40665,06:59:16 08-Feb-2025,Interpolated,50.07460,-5.45649,,1,,,8.9,-0.7,,,,15,24,4546,,,,5,15407,,,,23,24649,,,,10,30637,,,,15,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,08-Feb-2025,21:36:03,1,,,,0,5,50.07391,-5.31620,21:36:03 08-Feb-2025,Interpolated,50.07246,-5.30725,,1,,,10.0,0.7,,,,15,1,25667,,,,3,24890,,,,2,18292,,,,17,8018,,,,32,32230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,08-Feb-2025,22:07:16,1,,,,0,5,50.05996,-5.48022,22:07:16 08-Feb-2025,Interpolated,50.07411,-5.31298,,,,,20.9,-0.3,,,,15,1,12852,,,,3,17756,,,,2,29927,,,,4,19577,,,,17,24750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,09-Feb-2025,03:44:15,1,,,,0,4,50.07303,-5.31040,03:44:15 09-Feb-2025,Interpolated,50.04998,-5.28894,,,,,1.4,-0.8,,,,15,30,26494,,,,7,7237,,,,11,9988,,,,9,8922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,09-Feb-2025,04:57:51,1,,,,0,6,50.07279,-5.30983,04:57:51 09-Feb-2025,Interpolated,50.05484,-5.28780,,2,,,1.3,-0.5,,,,15,30,30993,,,44,20,16651,,,,15,23933,,,,18,12921,,,,22,25786,,,,32,17269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,09-Feb-2025,20:19:57,1,,,,0,4,50.06985,-5.30278,20:19:57 09-Feb-2025,Interpolated,50.07416,-5.30238,,,,,11.4,-0.7,,,,15,8,17253,,,,32,21267,,,,14,7978,,,,17,31131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Feb-2025,01:03:40,1,,,,0,5,50.06894,-5.30061,01:03:40 10-Feb-2025,Interpolated,50.05684,-5.28738,,1,,,0.4,-1.0,,,,15,11,18723,,,,6,3758,,,,9,31617,,,,7,2652,,,,20,19096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Feb-2025,09:07:04,2,,,,0,4,50.06740,-5.29691,09:07:04 10-Feb-2025,Interpolated,50.06197,-5.30230,,,,,18.2,0.0,,,,15,10,15668,,,,17,30356,,,,12,16442,,,,25,5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Feb-2025,12:58:04,1,,,,0,4,50.05078,-5.33481,12:58:04 10-Feb-2025,Interpolated,50.05788,-5.28311,,,,,27.1,-0.2,,,,15,25,3482,,,,26,20114,,,,29,8618,,,,28,18012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Feb-2025,18:37:35,1,,,,0,7,50.07538,-5.40388,18:37:35 10-Feb-2025,Interpolated,50.06557,-5.29255,,1,,,5.0,0.7,,,,15,8,22328,,,,2,19393,,,,10,16450,,,,1,31159,,,,27,25378,,,,21,20899,,,,14,25098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Feb-2025,19:00:15,1,,,,0,4,,,,,,,,,,,,,,,,15,10,30495,,,,32,8358,,,,2,30310,,,,1,29729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,10-Feb-2025,21:18:13,1,,,,0,4,50.06187,-5.28919,21:18:13 10-Feb-2025,Interpolated,50.05423,-5.31557,,,,,9.8,-0.0,,,,15,1,8671,,,,32,364,,,,2,2348,,,,3,16809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
