DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Purple,238969,UT,14:49:34 07-Feb-2025,User,,50.0916,-5.2020,,,,,,,,,,
Purple,238969,UT,15:18:16.081000 07-Feb-2025,FastGPS,4,50.1113,-5.4391,,,,,,,,,,
Purple,238969,UT,16:32:16.402000 07-Feb-2025,FastGPS,4,50.1065,-5.4358,,,,,,,,,,
Purple,238969,UT,17:32:37 07-Feb-2025,Argos,B,50.1082,-5.4467,1950,19913,191,14,,,,,,
Purple,238969,UT,18:20:44 07-Feb-2025,Argos,B,50.0998,-5.4541,1688,15018,189,50,,,,,,
Purple,238969,UT,19:22:24 07-Feb-2025,Argos,B,50.1006,-5.4665,1391,2647,730,61,,,,,,
Purple,238969,UT,20:02:30 07-Feb-2025,Argos,B,50.0747,-5.4433,1262,22748,70,56,,,,,,
Purple,238969,UT,20:10:51.290000 07-Feb-2025,FastGPS,5,50.0760,-5.4511,,,,,,,,,,
Purple,238969,UT,21:09:11 07-Feb-2025,Argos,B,50.0811,-5.4454,1221,12663,117,76,,,,,,
Purple,238969,UT,21:09:11 07-Feb-2025,Argos,B,50.0812,-5.4441,1221,12468,119,76,,,,,,
Purple,238969,UT,21:52:58 07-Feb-2025,Argos,B,50.0788,-5.4527,1430,4004,510,77,,,,,,
Purple,238969,UT,22:46:49 07-Feb-2025,Argos,A,50.0601,-5.4552,170,269,107,118,,,,,,
Purple,238969,UT,22:54:02 07-Feb-2025,Argos,3,50.0652,-5.4567,99,294,32,86,,,,,,
Purple,238969,UT,23:01:44.668000 07-Feb-2025,FastGPS,4,50.0626,-5.4595,,,,,,,,,,
Purple,238969,UT,23:02:03 07-Feb-2025,Argos,B,50.0649,-5.4577,407,664,249,88,,,,,,
Purple,238969,UT,00:38:49 08-Feb-2025,Argos,B,50.0503,-5.4704,1356,2291,802,90,,,,,,
Purple,238969,UT,00:45:57 08-Feb-2025,Argos,A,50.0484,-5.4672,135,193,93,54,,,,,,
Purple,238969,UT,06:59:15.313000 08-Feb-2025,FastGPS,4,50.0746,-5.4565,,,,,,,,,,
Purple,238969,UT,07:23:46 08-Feb-2025,Argos,B,50.0587,-5.4722,2416,4916,1186,84,,,,,,
Purple,238969,UT,12:32:55 08-Feb-2025,Argos,B,50.0706,-5.4554,2805,6285,1252,103,,,,,,
Purple,238969,UT,16:46:42 08-Feb-2025,Argos,B,50.0499,-5.4664,3469,6567,1832,104,,,,,,
Purple,238969,UT,21:36:03.729000 08-Feb-2025,FastGPS,4,50.0725,-5.3073,,,,,,,,,,
Purple,238969,UT,22:07:15.687000 08-Feb-2025,FastGPS,5,50.0741,-5.3130,,,,,,,,,,
Purple,238969,UT,22:25:21 08-Feb-2025,Argos,B,50.0605,-5.4810,3389,12712,903,91,,,,,,
Purple,238969,UT,22:25:21 08-Feb-2025,Argos,B,50.0733,-5.3678,2447,7240,827,100,,,,,,
Purple,238969,UT,22:25:21 08-Feb-2025,Argos,B,50.0841,-5.3228,1733,57502,52,110,,,,,,
Purple,238969,UT,03:44:14.184000 09-Feb-2025,FastGPS,4,50.0500,-5.2889,,,,,,,,,,
Purple,238969,UT,04:57:50.496000 09-Feb-2025,FastGPS,4,50.0548,-5.2878,,,,,,,,,,
Purple,238969,UT,06:29:18 09-Feb-2025,Argos,B,50.0668,-5.3426,3239,6745,1555,106,,,,,,
Purple,238969,UT,06:49:46 09-Feb-2025,Argos,B,50.0657,-5.3320,2986,7604,1172,98,,,,,,
Purple,238969,UT,08:52:44 09-Feb-2025,Argos,B,50.0541,-5.3366,2817,14649,541,92,,,,,,
Purple,238969,UT,11:30:31 09-Feb-2025,Argos,B,50.0657,-5.2992,2390,47357,120,102,,,,,,
Purple,238969,UT,12:17:46 09-Feb-2025,Argos,A,50.0605,-5.2906,332,1710,64,90,,,,,,
Purple,238969,UT,12:18:53 09-Feb-2025,Argos,A,50.0603,-5.2921,217,853,54,86,,,,,,
Purple,238969,UT,12:46:16 09-Feb-2025,Argos,B,50.0589,-5.2900,746,1232,451,88,,,,,,
Purple,238969,UT,13:35:59 09-Feb-2025,Argos,B,50.0621,-5.3164,860,4872,151,22,,,,,,
Purple,238969,UT,14:21:06 09-Feb-2025,Argos,B,50.0628,-5.3199,1224,1490,1004,49,,,,,,
Purple,238969,UT,16:13:38 09-Feb-2025,Argos,B,50.0588,-5.3274,1830,2631,1272,79,,,,,,
Purple,238969,UT,20:19:56.337000 09-Feb-2025,FastGPS,4,50.0742,-5.3024,,,,,,,,,,
Purple,238969,UT,20:20:46 09-Feb-2025,Argos,A,50.0760,-5.3535,4144,42837,400,94,,,,,,
Purple,238969,UT,00:17:06 10-Feb-2025,Argos,B,50.0792,-5.3680,6651,16216,2727,95,,,,,,
Purple,238969,UT,01:03:38.971000 10-Feb-2025,FastGPS,4,50.0568,-5.2874,,,,,,,,,,
Purple,238969,UT,06:18:46 10-Feb-2025,Argos,B,50.0675,-5.3123,5309,8021,3513,72,,,,,,
Purple,238969,UT,09:07:04.030000 10-Feb-2025,FastGPS,4,50.0620,-5.3023,,,,,,,,,,
Purple,238969,UT,09:32:52 10-Feb-2025,Argos,B,50.0568,-5.3226,4879,8676,2743,81,,,,,,
Purple,238969,UT,10:07:59 10-Feb-2025,Argos,B,50.0551,-5.3284,3149,7084,1399,80,,,,,,
Purple,238969,UT,12:58:02 10-Feb-2025,Argos,B,50.0508,-5.3348,3512,7700,1602,83,,,,,,
Purple,238969,UT,12:58:03.772000 10-Feb-2025,FastGPS,4,50.0579,-5.2831,,,,,,,,,,
Purple,238969,UT,14:03:54 10-Feb-2025,Argos,B,50.0525,-5.3143,3367,6130,1849,81,,,,,,
Purple,238969,UT,17:08:09 10-Feb-2025,Argos,B,50.0533,-5.3034,2896,16167,518,91,,,,,,
Purple,238969,UT,18:37:35.680000 10-Feb-2025,FastGPS,6,50.0656,-5.2925,,,,,,,,,,
Purple,238969,UT,18:48:15 10-Feb-2025,Argos,B,50.0616,-5.3156,2002,39394,101,74,,,,,,
Purple,238969,UT,21:18:12.970610 10-Feb-2025,FastGPS,4,50.0542,-5.3156,,,,,,,,,,
Purple,238969,UT,21:52:19 10-Feb-2025,Argos,B,50.0627,-5.3150,2689,7134,1013,78,,,,,,
Purple,238969,UT,22:16:15 10-Feb-2025,Argos,B,50.0613,-5.3190,2569,5868,1124,77,,,,,,
Purple,238969,UT,03:30:02.271000 11-Feb-2025,FastGPS,7,50.0533,-5.2814,,,,,,,,,,
Purple,238969,UT,05:54:29 11-Feb-2025,Argos,B,50.0665,-5.3149,3866,6833,2186,82,,,,,,
Purple,238969,UT,06:52:43 11-Feb-2025,Argos,B,50.0947,-5.3175,3050,25657,362,84,,,,,,
Purple,238969,UT,07:33:27 11-Feb-2025,Argos,B,50.0886,-5.3509,2762,14240,535,86,,,,,,
Purple,238969,UT,09:38:00 11-Feb-2025,Argos,B,50.0607,-5.3245,3089,9061,1053,120,,,,,,
Purple,238969,UT,12:08:21 11-Feb-2025,Argos,B,50.0560,-5.3215,2294,5826,903,93,,,,,,
Purple,238969,UT,12:21:57 11-Feb-2025,Argos,B,50.0537,-5.3213,2193,7316,657,94,,,,,,
Purple,238969,UT,16:32:02 11-Feb-2025,Argos,B,50.0511,-5.3209,3011,6349,1428,92,,,,,,
Purple,238969,UT,17:59:35 11-Feb-2025,Argos,B,50.0526,-5.3185,2950,6453,1348,101,,,,,,
Purple,238969,UT,18:05:07 11-Feb-2025,Argos,B,50.0667,-5.3211,2558,10151,644,97,,,,,,
Purple,238969,UT,19:28:51 11-Feb-2025,Argos,B,50.0690,-5.3338,2399,6052,950,93,,,,,,
Purple,238969,UT,19:32:51 11-Feb-2025,Argos,B,50.0693,-5.3182,2781,9678,799,97,,,,,,
Purple,238969,UT,20:32:58 11-Feb-2025,Argos,B,50.0842,-5.3246,2690,12832,563,93,,,,,,
Purple,238969,UT,21:04:06 11-Feb-2025,Argos,A,50.0887,-5.3892,818,1274,524,35,,,,,,
Purple,238969,UT,21:15:45 11-Feb-2025,Argos,B,50.0886,-5.3893,2744,5994,1256,134,,,,,,
Purple,238969,UT,21:22:04.640363 11-Feb-2025,FastGPS,4,50.0795,-5.3885,,,,,,,,,,
Purple,238969,UT,21:22:22 11-Feb-2025,Argos,2,50.0794,-5.3830,340,2022,57,87,,,,,,
Purple,238969,UT,21:44:44 11-Feb-2025,Argos,A,50.0836,-5.4020,195,463,82,84,,,,,,
Purple,238969,UT,22:03:19 11-Feb-2025,Argos,3,50.0904,-5.4174,166,893,30,84,,,,,,
Purple,238969,UT,23:12:20 11-Feb-2025,Argos,B,50.1029,-5.4592,1134,1849,695,91,,,,,,
Purple,238969,UT,23:19:09 11-Feb-2025,Argos,A,50.0824,-5.4377,480,11801,19,77,,,,,,
Purple,238969,UT,23:26:26 11-Feb-2025,Argos,A,50.0837,-5.4110,256,370,177,42,,,,,,
Purple,238969,UT,23:43:36 11-Feb-2025,Argos,B,50.0867,-5.4227,890,1294,611,85,,,,,,
Purple,238969,UT,01:04:07 12-Feb-2025,Argos,B,50.0977,-5.4707,1369,2362,793,97,,,,,,
Purple,238969,UT,04:36:53.490000 12-Feb-2025,FastGPS,7,50.1132,-5.5157,,,,,,,,,,
Purple,238969,UT,05:21:46 12-Feb-2025,Argos,B,50.0912,-5.4450,2980,5866,1513,100,,,,,,
Purple,238969,UT,06:06:19 12-Feb-2025,Argos,B,50.1059,-5.5255,4500,31905,634,96,,,,,,
Purple,238969,UT,07:42:50 12-Feb-2025,Argos,B,50.1047,-5.5224,3467,13062,919,93,,,,,,
Purple,238969,UT,09:10:46 12-Feb-2025,Argos,A,50.0984,-5.5029,116,258,52,92,,,,,,
Purple,238969,UT,09:37:39 12-Feb-2025,Argos,B,50.0981,-5.5026,711,1128,448,88,,,,,,
Purple,238969,UT,10:28:32 12-Feb-2025,Argos,B,50.1006,-5.5156,1199,1973,728,91,,,,,,
Purple,238969,UT,10:50:31 12-Feb-2025,Argos,B,50.0989,-5.5056,1358,2235,825,89,,,,,,
Purple,238969,UT,11:24:44 12-Feb-2025,Argos,B,50.1185,-5.5235,1209,7435,196,88,,,,,,
Purple,238969,UT,11:40:41 12-Feb-2025,Argos,A,50.1064,-5.4501,118,225,61,100,,,,,,
Purple,238969,UT,11:59:08 12-Feb-2025,Argos,A,50.0977,-5.4383,322,2344,44,108,,,,,,
Purple,238969,UT,13:02:35 12-Feb-2025,Argos,B,50.1036,-5.4497,2637,4543,1530,95,,,,,,
Purple,238969,UT,13:04:34 12-Feb-2025,Argos,B,50.1018,-5.4429,1340,46017,39,100,,,,,,
Purple,238969,UT,13:37:45.692599 12-Feb-2025,FastGPS,5,50.0953,-5.4499,,,,,,,,,,
Purple,238969,UT,13:44:24 12-Feb-2025,Argos,A,50.0957,-5.4473,179,463,69,82,,,,,,
Purple,238969,UT,14:35:48 12-Feb-2025,Argos,B,50.1046,-5.4489,709,5457,92,114,,,,,,
Purple,238969,UT,15:44:40 12-Feb-2025,Argos,B,50.1017,-5.4523,1271,2612,617,99,,,,,,
Purple,238969,UT,17:02:33.363528 12-Feb-2025,FastGPS,4,50.0772,-5.3522,,,,,,,,,,
Purple,238969,UT,17:25:21 12-Feb-2025,Argos,A,50.0749,-5.3352,134,475,37,93,,,,,,
Purple,238969,UT,19:03:43 12-Feb-2025,Argos,B,50.0705,-5.3225,1334,5418,328,100,,,,,,
Purple,238969,UT,19:03:43 12-Feb-2025,Argos,B,50.0692,-5.3113,1384,3060,625,99,,,,,,
Purple,238969,UT,19:03:43 12-Feb-2025,Argos,B,50.0708,-5.3103,1622,2540,1035,90,,,,,,
Purple,238969,UT,20:12:55 12-Feb-2025,Argos,B,50.0669,-5.3049,1495,4063,550,89,,,,,,
