DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Selkie,238970,Transmission,UT,12:00:00 11-Mar-2025,13:00:00 11-Mar-2025,depth,shallow,0.000000,49.6,1768,1804,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,12:00:00 11-Mar-2025,13:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,12:00:00 11-Mar-2025,13:00:00 11-Mar-2025,depth,dry,,50.4,1796,1832,,,,,,,,
Selkie,238970,Transmission,UT,13:00:00 11-Mar-2025,14:00:00 11-Mar-2025,depth,shallow,0.000000,67.7,2420,2456,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,13:00:00 11-Mar-2025,14:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,13:00:00 11-Mar-2025,14:00:00 11-Mar-2025,depth,dry,,32.3,1145,1181,,,,,,,,
Selkie,238970,Transmission,UT,14:00:00 11-Mar-2025,15:00:00 11-Mar-2025,depth,shallow,0.000000,54.3,1938,1974,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,14:00:00 11-Mar-2025,15:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,14:00:00 11-Mar-2025,15:00:00 11-Mar-2025,depth,dry,,45.7,1627,1663,,,,,,,,
Selkie,238970,Transmission,UT,15:00:00 11-Mar-2025,16:00:00 11-Mar-2025,depth,shallow,0.000000,62.2,2221,2257,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,15:00:00 11-Mar-2025,16:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,15:00:00 11-Mar-2025,16:00:00 11-Mar-2025,depth,dry,,37.8,1343,1379,,,,,,,,
Selkie,238970,Transmission,UT,16:00:00 11-Mar-2025,17:00:00 11-Mar-2025,depth,shallow,0.000000,90.6,3242,3278,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,16:00:00 11-Mar-2025,17:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,16:00:00 11-Mar-2025,17:00:00 11-Mar-2025,depth,dry,,9.4,320,356,,,,,,,,
Selkie,238970,Transmission,UT,17:00:00 11-Mar-2025,18:00:00 11-Mar-2025,depth,shallow,0.000000,76.4,2732,2768,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,17:00:00 11-Mar-2025,18:00:00 11-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,17:00:00 11-Mar-2025,18:00:00 11-Mar-2025,depth,dry,,23.6,832,868,,,,,,,,
Selkie,238970,Transmission,UT,06:00:00 12-Mar-2025,07:00:00 12-Mar-2025,depth,shallow,0.000000,85.0,3043,3079,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,06:00:00 12-Mar-2025,07:00:00 12-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,06:00:00 12-Mar-2025,07:00:00 12-Mar-2025,depth,dry,,15.0,522,558,,,,,,,,
Selkie,238970,Transmission,UT,07:00:00 12-Mar-2025,08:00:00 12-Mar-2025,depth,shallow,0.000000,67.7,2420,2456,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,07:00:00 12-Mar-2025,08:00:00 12-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,07:00:00 12-Mar-2025,08:00:00 12-Mar-2025,depth,dry,,32.3,1145,1181,,,,,,,,
Selkie,238970,Transmission,UT,08:00:00 12-Mar-2025,09:00:00 12-Mar-2025,depth,shallow,0.000000,48.8,1739,1775,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,08:00:00 12-Mar-2025,09:00:00 12-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,08:00:00 12-Mar-2025,09:00:00 12-Mar-2025,depth,dry,,51.2,1825,1861,,,,,,,,
Selkie,238970,Transmission,UT,09:00:00 12-Mar-2025,10:00:00 12-Mar-2025,depth,shallow,0.000000,69.3,2476,2512,0,,1.000000,,,1.000000,,1.000000
Selkie,238970,Transmission,UT,09:00:00 12-Mar-2025,10:00:00 12-Mar-2025,depth,deep,,0.0,0,0,,,,,,,,
Selkie,238970,Transmission,UT,09:00:00 12-Mar-2025,10:00:00 12-Mar-2025,depth,dry,,30.7,1087,1123,,,,,,,,
Selkie,238970,Transmission,UT,16:00:00 12-Mar-2025,17:00:00 12-Mar-2025,depth,shallow,0.000000,16.5,577,613,23,,1.000000,,,1.000000,,5.000000
Selkie,238970,Transmission,UT,16:00:00 12-Mar-2025,17:00:00 12-Mar-2025,depth,deep,,78.0,2788,2824,23,14.000000,,21.000000,23.000000,,25.000000,28.000000
Selkie,238970,Transmission,UT,16:00:00 12-Mar-2025,17:00:00 12-Mar-2025,depth,dry,,5.5,180,216,,,,,,,,
Selkie,238970,Transmission,UT,17:00:00 12-Mar-2025,18:00:00 12-Mar-2025,depth,shallow,0.000000,14.2,492,528,19,,1.000000,,,1.000000,,5.000000
Selkie,238970,Transmission,UT,17:00:00 12-Mar-2025,18:00:00 12-Mar-2025,depth,deep,,81.9,2930,2966,19,17.000000,,19.000000,20.000000,,23.000000,27.000000
Selkie,238970,Transmission,UT,17:00:00 12-Mar-2025,18:00:00 12-Mar-2025,depth,dry,,3.9,122,158,,,,,,,,
Selkie,238970,Transmission,UT,18:00:00 12-Mar-2025,19:00:00 12-Mar-2025,depth,shallow,0.000000,19.7,691,727,16,,1.000000,,,1.000000,,5.000000
Selkie,238970,Transmission,UT,18:00:00 12-Mar-2025,19:00:00 12-Mar-2025,depth,deep,,75.6,2703,2739,16,27.000000,,29.000000,31.000000,,33.000000,35.000000
Selkie,238970,Transmission,UT,18:00:00 12-Mar-2025,19:00:00 12-Mar-2025,depth,dry,,4.7,151,187,,,,,,,,
Selkie,238970,Transmission,UT,19:00:00 12-Mar-2025,20:00:00 12-Mar-2025,depth,shallow,0.000000,48.0,1711,1747,11,,1.000000,,,1.000000,,5.000000
Selkie,238970,Transmission,UT,19:00:00 12-Mar-2025,20:00:00 12-Mar-2025,depth,deep,,47.2,1683,1719,11,24.000000,,27.000000,31.000000,,32.000000,33.000000
Selkie,238970,Transmission,UT,19:00:00 12-Mar-2025,20:00:00 12-Mar-2025,depth,dry,,4.8,155,191,,,,,,,,
Selkie,238970,Transmission,UT,08:00:00 13-Mar-2025,09:00:00 13-Mar-2025,depth,shallow,0.000000,28.3,1002,1038,17,,1.000000,,,2.000000,,5.000000
Selkie,238970,Transmission,UT,08:00:00 13-Mar-2025,09:00:00 13-Mar-2025,depth,deep,,64.6,2306,2342,17,10.000000,,12.000000,14.000000,,16.000000,19.000000
Selkie,238970,Transmission,UT,08:00:00 13-Mar-2025,09:00:00 13-Mar-2025,depth,dry,,7.1,238,274,,,,,,,,
Selkie,238970,Transmission,UT,09:00:00 13-Mar-2025,10:00:00 13-Mar-2025,depth,shallow,0.000000,9.4,322,358,18,,1.000000,,,2.000000,,5.000000
Selkie,238970,Transmission,UT,09:00:00 13-Mar-2025,10:00:00 13-Mar-2025,depth,deep,,79.5,2845,2881,18,14.000000,,18.000000,21.000000,,23.000000,27.000000
Selkie,238970,Transmission,UT,09:00:00 13-Mar-2025,10:00:00 13-Mar-2025,depth,dry,,11.1,382,418,,,,,,,,
Selkie,238970,Transmission,UT,14:00:00 13-Mar-2025,15:00:00 13-Mar-2025,depth,shallow,0.000000,11.0,379,415,14,,1.000000,,,1.000000,,5.000000
