DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Selkie,238970,UT,07:04:58 12-Mar-2025,Argos,B,50.0963,-5.1966,,,,,,,,,,
Selkie,238970,UT,08:45:14 12-Mar-2025,Argos,3,50.0936,-5.2028,210,905,48,121,,,,,,
Selkie,238970,UT,11:05:34 12-Mar-2025,Argos,B,50.0877,-5.2072,1405,3147,627,89,,,,,,
Selkie,238970,UT,11:43:20 12-Mar-2025,Argos,B,50.0872,-5.2062,1642,3353,803,89,,,,,,
Selkie,238970,UT,12:50:47 12-Mar-2025,Argos,B,50.0863,-5.2070,1983,3685,1066,90,,,,,,
Selkie,238970,UT,13:10:19 12-Mar-2025,Argos,B,50.0909,-5.2028,1541,53481,44,103,,,,,,
Selkie,238970,UT,14:35:00 12-Mar-2025,User,,50.0916,-5.2020,,,,,,,,,,
Selkie,238970,UT,18:21:51 12-Mar-2025,Argos,B,50.0807,-5.2085,2855,5736,1421,97,,,,,,
Selkie,238970,UT,19:50:03 12-Mar-2025,Argos,B,50.0555,-5.1720,1924,44940,82,62,,,,,,
Selkie,238970,UT,20:09:14 12-Mar-2025,Argos,B,50.0075,-5.2466,994,15248,64,77,,,,,,
Selkie,238970,UT,20:44:48 12-Mar-2025,Argos,B,50.0073,-5.2600,1173,3374,407,74,,,,,,
Selkie,238970,UT,21:25:52 12-Mar-2025,Argos,B,50.0066,-5.2639,1465,3173,676,77,,,,,,
Selkie,238970,UT,22:13:50 12-Mar-2025,Argos,B,50.0067,-5.2668,1735,3441,874,80,,,,,,
Selkie,238970,UT,22:25:22 12-Mar-2025,Argos,B,50.0106,-5.2593,1687,3272,869,85,,,,,,
Selkie,238970,UT,23:04:44 12-Mar-2025,Argos,2,50.0406,-5.2811,412,658,257,164,,,,,,
Selkie,238970,UT,00:14:16 13-Mar-2025,Argos,B,50.0356,-5.2819,1267,2793,574,91,,,,,,
Selkie,238970,UT,04:56:26 13-Mar-2025,Argos,B,50.0500,-5.2989,2377,4551,1240,72,,,,,,
Selkie,238970,UT,08:23:01 13-Mar-2025,Argos,B,50.0576,-5.3142,3461,6078,1970,75,,,,,,
Selkie,238970,UT,09:42:11 13-Mar-2025,Argos,B,50.0230,-5.3759,2173,74445,63,103,,,,,,
Selkie,238970,UT,09:53:39 13-Mar-2025,Argos,B,50.0014,-5.2693,1558,27780,87,110,,,,,,
Selkie,238970,UT,10:23:15 13-Mar-2025,Argos,B,50.0006,-5.2689,1794,7662,419,108,,,,,,
Selkie,238970,UT,11:00:12 13-Mar-2025,Argos,B,50.0040,-5.2796,1981,6116,641,107,,,,,,
Selkie,238970,UT,11:18:51 13-Mar-2025,Argos,B,50.0028,-5.2849,2013,6196,654,109,,,,,,
Selkie,238970,UT,12:11:17 13-Mar-2025,Argos,B,49.9967,-5.2667,2006,4295,936,107,,,,,,
Selkie,238970,UT,12:19:41 13-Mar-2025,Argos,B,49.9470,-5.1536,1072,9307,123,41,,,,,,
Selkie,238970,UT,12:23:36 13-Mar-2025,Argos,B,49.9208,-5.1743,308,3282,28,80,,,,,,
Selkie,238970,UT,12:36:11 13-Mar-2025,Argos,B,49.9168,-5.1772,448,3625,55,92,,,,,,
Selkie,238970,UT,12:58:08 13-Mar-2025,Argos,B,49.9173,-5.1819,490,1164,206,33,,,,,,
Selkie,238970,UT,14:02:17 13-Mar-2025,Argos,A,49.9080,-5.1049,146,387,54,109,,,,,,
Selkie,238970,UT,14:11:00 13-Mar-2025,Argos,B,49.9118,-5.1101,452,1197,170,66,,,,,,
Selkie,238970,UT,15:37:05 13-Mar-2025,Argos,B,49.9119,-5.0748,1473,2208,982,89,,,,,,
Selkie,238970,UT,18:42:58 13-Mar-2025,Argos,B,49.9322,-4.9985,2140,4077,1123,96,,,,,,
Selkie,238970,UT,19:41:11 13-Mar-2025,Argos,A,49.9211,-4.7062,448,1351,148,73,,,,,,
Selkie,238970,UT,20:12:26 13-Mar-2025,Argos,B,49.9388,-4.6960,203,693,59,91,,,,,,
Selkie,238970,UT,20:18:25 13-Mar-2025,Argos,B,49.9324,-4.6567,846,1796,398,31,,,,,,
Selkie,238970,UT,21:04:15 13-Mar-2025,Argos,0,49.9090,-4.6607,6733,126477,358,79,,,,,,
Selkie,238970,UT,21:54:23 13-Mar-2025,Argos,B,49.9185,-4.5528,10453,25913,4216,82,,,,,,
Selkie,238970,UT,21:59:01 13-Mar-2025,Argos,B,49.9102,-4.5975,17140,101418,2896,86,,,,,,
Selkie,238970,UT,22:14:34 13-Mar-2025,Argos,B,49.9073,-4.6143,11371,43479,2974,91,,,,,,
Selkie,238970,UT,22:27:15 13-Mar-2025,Argos,B,49.9077,-4.6060,1732,5952,503,91,,,,,,
Selkie,238970,UT,22:42:31 13-Mar-2025,Argos,B,49.9096,-4.5786,1836,5801,581,91,,,,,,
Selkie,238970,UT,23:40:07 13-Mar-2025,Argos,B,49.8964,-4.4858,1955,17195,222,79,,,,,,
