DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15
Selkie,238970,0.500000,Transmission,UT,22:02:00 12-Mar-2025,1.7,1.00,1,,,, ,3,,0.00,0.00,10.125,10.175,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,08:01:00 13-Mar-2025,1.7,1.00,2,,,, ,5,,0.00,0.00,10.025,10.075,,,5.00,0.00,10.025,10.075,,,10.00,0.00,10.025,10.075,,,15.00,0.00,10.025,10.075,,,20.00,1.00,10.075,10.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,07:49:00 14-Mar-2025,1.7,1.00,1,,,, ,6,,0.00,0.00,10.875,10.925,,,5.00,0.00,10.875,10.925,,,10.00,0.00,10.875,10.925,,,15.00,0.00,10.875,10.925,,,20.00,0.00,10.875,10.925,,,25.00,0.00,10.875,10.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,13:01:00 20-Mar-2025,1.7,2.00,1,,,, ,5,,0.00,0.00,8.625,8.675,,,5.00,0.00,8.525,8.575,,,10.00,0.00,8.525,8.575,,,15.00,0.00,8.525,8.575,,,20.00,1.00,8.525,8.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,01:01:00 21-Mar-2025,1.7,2.00,1,,,, ,7,,0.00,0.00,8.675,8.725,,,5.00,0.00,8.675,8.725,,,10.00,0.00,8.625,8.675,,,15.00,0.00,8.575,8.625,,,20.00,0.00,8.575,8.625,,,25.00,0.00,8.525,8.575,,,30.00,0.00,8.525,8.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,12:27:00 21-Mar-2025,16.7,2.00,2,,,, ,9,,0.00,0.00,8.775,8.825,,,5.00,0.00,8.775,8.825,,,10.00,0.00,8.725,8.775,,,15.00,0.00,8.725,8.775,,,20.00,0.00,8.725,8.775,,,25.00,0.00,8.725,8.775,,,30.00,0.00,8.725,8.775,,,35.00,0.00,8.725,8.775,,,40.00,1.00,8.725,8.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,11:19:00 22-Mar-2025,16.7,2.00,1,,,, ,13,,0.00,0.00,8.675,8.725,,,5.00,0.00,8.625,8.675,,,10.00,0.00,8.625,8.675,,,15.00,0.00,8.625,8.675,,,20.00,0.00,8.625,8.675,,,25.00,0.00,8.625,8.675,,,30.00,0.00,8.625,8.675,,,35.00,0.00,8.625,8.675,,,40.00,0.00,8.625,8.675,,,45.00,0.00,8.625,8.675,,,50.00,0.00,8.625,8.675,,,55.00,0.00,8.625,8.675,,,60.00,0.00,8.625,8.675,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,10:02:00 23-Mar-2025,1.7,2.00,2,,,, ,6,,0.00,0.00,9.175,9.225,,,5.00,0.00,9.125,9.175,,,10.00,0.00,9.125,9.175,,,15.00,0.00,9.125,9.175,,,20.00,0.00,9.125,9.175,,,25.00,0.00,9.125,9.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,11:02:00 23-Mar-2025,16.7,2.00,1,,,, ,6,,0.00,0.00,9.225,9.275,,,5.00,0.00,9.175,9.225,,,10.00,0.00,9.175,9.225,,,15.00,0.00,9.125,9.175,,,20.00,0.00,9.125,9.175,,,25.00,0.00,9.125,9.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,21:31:00 23-Mar-2025,1.7,2.00,1,,,, ,4,,0.00,0.00,8.975,9.025,,,5.00,0.00,8.975,9.025,,,10.00,0.00,8.975,9.025,,,15.00,0.00,8.975,9.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,09:23:00 24-Mar-2025,16.7,2.00,1,,,, ,8,,0.00,0.00,8.775,8.825,,,5.00,0.00,8.775,8.825,,,10.00,0.00,8.775,8.825,,,15.00,0.00,8.775,8.825,,,20.00,0.00,8.775,8.825,,,25.00,0.00,8.775,8.825,,,30.00,0.00,8.775,8.825,,,35.00,0.00,8.775,8.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
