DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Selkie,238970,0.500000,UT,,00:14:37 13-Mar-2025,00:14:39 13-Mar-2025,2,B,50.0356,-5.2819,CRC,,,,740,3.275,,,10.05,0.0,,,,,,,,,,,,,100,24,255,40,,,,,,,54,53,36,0,16,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,12:23:35 13-Mar-2025,12:23:37 13-Mar-2025,2,B,49.9470,-5.1536,CRC,,,,915,3.250,,,10.10,0.5,,,,,,,,,,,,,160,24,255,40,,,,,,,56,71,44,0,7,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,19:37:38 13-Mar-2025,19:37:39 13-Mar-2025,1,A,49.9211,-4.7062,CRC,,,,1015,3.300,,,10.85,0.0,,,,,,,,,,,,,163,24,255,40,,,,,,,40,79,47,0,21,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,12:34:51 15-Mar-2025,12:34:52 15-Mar-2025,1,B,49.8574,-3.2591,CRC,,,,1590,3.275,,,10.55,0.0,,,,,,,,,,,,,113,23,255,40,,,,,,,48,149,91,0,7,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,18:49:11 16-Mar-2025,18:49:12 16-Mar-2025,1,B,50.0474,-2.6738,CRC,,,,2015,3.275,,,9.95,0.0,,,,,,,,,,,,,187,23,255,40,,,,,,,40,202,125,0,15,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,21:24:49 24-Mar-2025,21:24:50 24-Mar-2025,1,B,50.7735,1.3346,CRC,,,,4815,3.275,,,9.15,0.0,,,,,,,,,,,,,152,22,255,40,,,,,,,62,491,279,0,29,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,00:26:49 08-Apr-2025,00:26:51 08-Apr-2025,2,B,50.5089,0.5586,CRC,,,,9340,3.300,,,9.80,0.0,,,,,,,,,,,,,182,22,255,40,,,,,,,68,1010,591,0,26,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,10:04:43 10-Apr-2025,10:04:46 10-Apr-2025,3,1,50.2365,1.5673,CRC,,,,10165,3.325,,,10.65,0.0,,,,,,,,,,,,,122,22,255,40,,,,,,,56,1092,630,0,15,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,04:39:04 17-Apr-2025,04:39:07 17-Apr-2025,3,A,50.3863,0.4989,CRC,,,,12465,3.275,,,10.30,0.0,,,,,,,,,,,,,255,21,255,40,,,,,,,58,1317,740,0,6,,,,,,10:00:00 11-Mar-2025,,,
Selkie,238970,0.500000,UT,,21:34:02 17-Apr-2025,21:34:05 17-Apr-2025,3,B,50.2909,0.3923,CRC,,,,12715,3.275,,,10.55,0.0,,,,,,,,,,,,,134,21,255,40,,,,,,,78,1340,749,0,27,,,,,,10:00:00 11-Mar-2025,,,
