"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Sunbeetle",225760,17343,,,,,,,90,NK,,401650000,11/07/2024 19:20:37,1,3,0,-133,401650000,,,,,,,,,,,,133,157,245,176,96,198,57,173,154,195,212,12,153,110,138,23,4,234,197,158,106,72,0,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,90,NK,,401650000,11/07/2024 19:21:22,1,3,0,-133,401650000,,,,,,,,,,,,133,158,1,48,4,87,6,81,122,193,103,57,224,197,91,100,203,134,133,158,106,170,0,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,90,NK,,401650000,11/07/2024 19:22:07,1,3,0,-133,401650000,,,,,,,,,,,,29,217,23,194,206,240,0,15,130,2,2,107,0,0,124,16,16,19,200,,,,,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,44,CS,,401650000,11/08/2024 05:52:06,1,2,0,-128,401650000,,,,,,,,,,,,25,145,2,66,207,112,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,44,CS,,401650000,11/08/2024 05:52:51,1,2,0,-128,401650000,,,,,,,,,,,,26,145,0,66,208,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,135,NK,,401650000,11/08/2024 07:32:55,1,3,0,-127,401650000,,,,,,,,,,,,133,160,151,98,27,59,2,124,218,143,59,186,177,78,225,145,155,103,37,160,240,108,0,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,44,CS,,401650000,11/08/2024 07:32:55,1,2,0,-130,401650000,,,,,,,,,,,,133,160,151,98,27,59,2,124,218,143,59,186,177,78,225,145,155,103,37,160,240,110,0,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,135,NK,,401650000,11/08/2024 07:33:40,1,3,0,-127,401650000,,,,,,,,,,,,1,145,0,2,208,48,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,44,CS,,401650000,11/08/2024 07:33:40,1,2,0,-130,401650000,,,,,,,,,,,,1,145,0,2,208,48,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,135,NK,,401650000,11/08/2024 07:35:10,1,3,0,-127,401650000,,,,,,,,,,,,4,145,0,2,208,80,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,0,MC,,401650000,11/08/2024 09:26:00,1,1,1,-119,401650000,,,,,,,,,,,,26,145,0,66,208,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,0,NP,,401650000,11/08/2024 09:58:05,1,1,0,-121,401650000,,,,,,,,,,,,165,160,181,150,20,207,100,193,5,36,19,232,240,106,177,127,159,37,99,192,24,180,39,161,0,0,0,,,,,
"Sunbeetle",225760,17343,,,,,,,0,MC,,401650000,11/08/2024 11:07:39,1,1,1,-118,401650000,,,,,,,,,,,,133,160,151,98,27,59,2,124,218,143,59,186,177,78,225,139,155,103,37,161,99,206,0,,,,,,,,,
"Sunbeetle",225760,17343,,,,,,,0,NP,,401650000,11/08/2024 11:38:21,1,1,0,-136,401650000,,,,,,,,,,,,165,160,217,198,153,57,3,138,138,183,236,248,124,224,98,74,197,212,111,209,173,48,101,150,245,85,85,,,,,
"Sunbeetle",225760,17343,,,,,,,127,NN,,401650000,11/08/2024 12:21:30,1,2,0,-125,401650000,,,,,,,,,,,,165,160,216,198,153,41,52,176,91,142,101,178,35,188,231,232,54,209,65,121,100,180,49,87,64,0,0,,,,,
"Sunbeetle",225760,17343,,,,,,,127,NN,,401650000,11/08/2024 12:23:37,1,2,0,-125,401650000,,,,,,,,,,,,165,161,29,128,90,220,99,254,97,45,103,195,107,194,89,78,167,231,254,50,36,180,49,121,64,0,0,,,,,
"Sunbeetle",225760,17343,50.09538,-5.2027,1,11/08/2024 17:08:30,Argos,0,364,CS,,401677755.26,11/08/2024 17:06:14,1,4,0,-120,401677755.26,-5.2027,50.09538,-5.2027,50.09538,60,0,520,2005,135,110,663,10,177,57,194,208,208,0,15,130,2,6,115,64,0,44,16,84,150,210,,,,,,,,,,,,,
"Sunbeetle",225760,17343,50.09538,-5.2027,1,11/08/2024 17:08:30,Argos,0,364,CS,,401677755.26,11/08/2024 17:07:18,1,4,0,-120,401677755.26,-5.2027,50.09538,-5.2027,50.09538,60,0,520,2005,135,110,663,1,177,24,66,208,144,0,15,130,2,2,118,0,0,124,16,16,19,224,,,,,,,,,,,,,
"Sunbeetle",225760,17343,50.09538,-5.2027,1,11/08/2024 17:08:30,Argos,0,364,CS,,401677755.26,11/08/2024 17:08:13,1,4,0,-120,401677755.26,-5.2027,50.09538,-5.2027,50.09538,60,0,520,2005,135,110,663,165,161,130,184,240,177,75,125,6,120,168,231,15,77,60,161,108,29,69,100,104,180,68,131,0,0,0,,,,,
"Sunbeetle",225760,17343,50.09538,-5.2027,1,11/08/2024 17:08:30,Argos,0,364,CS,,401677755.26,11/08/2024 17:12:18,1,4,0,-120,401677755.26,-5.2027,50.09538,-5.2027,50.09538,60,0,520,2005,135,110,663,31,17,0,2,208,176,0,15,130,2,2,117,0,0,124,16,16,19,224,,,,,,,,,,,,,
"Sunbeetle",225760,17343,50.09317,-5.20173,B,11/08/2024 18:15:42,Argos,0,0,SR,,401677759.72,11/08/2024 18:15:42,1,1,0,-120,401677759.72,-5.20173,50.09317,-5.20173,50.09317,8,3,1661,3045,906,87,3004,133,162,47,134,0,149,86,61,235,206,58,14,156,185,159,207,229,28,118,176,206,23,233,,,,,,,,,
"Sunbeetle",225760,17343,50.09615,-5.20661,B,11/08/2024 21:25:57,Argos,0,90,NP,,401677776.25,11/08/2024 21:25:13,1,2,0,-138,401677776.25,-5.20661,50.09615,-5.20661,50.09615,8,3,1758,9363,330,64,4493,133,130,47,134,0,149,214,61,235,206,58,14,156,185,159,74,228,197,197,162,44,152,0,,,,,,,,,
"Sunbeetle",225760,17343,50.09615,-5.20661,B,11/08/2024 21:25:57,Argos,0,90,NP,,401677776.25,11/08/2024 21:26:43,1,2,0,-138,401677776.25,-5.20661,50.09615,-5.20661,50.09615,8,3,1758,9363,330,64,4493,7,49,16,66,208,240,0,15,130,2,2,121,0,0,124,16,16,19,208,,,,,,,,,,,,,
"Sunbeetle",225760,17343,50.09121,-5.20402,2,11/08/2024 22:07:57,Argos,0,180,NN,,401677785.07,11/08/2024 22:07:12,1,4,0,-123,401677785.07,-5.20402,50.09121,-5.20402,50.09121,67,3,469,9082,24,76,1320,133,162,47,134,0,149,86,61,235,206,58,14,156,185,159,200,229,197,197,162,195,152,0,,,,,,,,,
