DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Sunbeetle,225760,UT,DS,3,0,2,45,45,19:20:37 07-Nov-2024,NK,,,,,,,,401650000,-133
Sunbeetle,225760,UT,DS,2,0,0,45,45,05:52:06 08-Nov-2024,CS,,,,,,,,401650000,-128
Sunbeetle,225760,UT,DS,3,0,0,67,45,07:32:55 08-Nov-2024,NK,,,,,,,,401650000,-127
Sunbeetle,225760,UT,DS,2,0,0,45,45,07:32:55 08-Nov-2024,CS,,,,,,,,401650000,-130
Sunbeetle,225760,UT,DS,1,0,0,,,09:26:00 08-Nov-2024,MC,,,,,,,,401650000,-119
Sunbeetle,225760,UT,DS,1,0,0,,,09:58:05 08-Nov-2024,NP,,,,,,,,401650000,-121
Sunbeetle,225760,UT,DS,1,0,0,,,11:07:39 08-Nov-2024,MC,,,,,,,,401650000,-118
Sunbeetle,225760,UT,DS,1,0,1,,,11:38:21 08-Nov-2024,NP,,,,,,,,401650000,-136
Sunbeetle,225760,UT,DS,2,0,0,127,127,12:21:30 08-Nov-2024,NN,,,,,,,,401650000,-125
Sunbeetle,225760,UT,DS,4,0,1,121,55,17:08:30 08-Nov-2024,CS,1,50.0954,-5.2027,50.0954,-5.2027,60,,401677755,-120
Sunbeetle,225760,UT,DS,1,0,0,,,18:15:42 08-Nov-2024,SR,B,50.0932,-5.2017,50.0932,-5.2017,8,,401677759,-120
Sunbeetle,225760,UT,DS,2,0,1,90,90,21:25:57 08-Nov-2024,NP,B,50.0961,-5.2066,50.0961,-5.2066,8,,401677776,-138
Sunbeetle,225760,UT,DS,4,0,0,60,45,22:07:57 08-Nov-2024,NN,2,50.0912,-5.2040,50.0912,-5.2040,67,,401677785,-123
Sunbeetle,225760,UT,DS,2,0,1,49,49,05:34:04 09-Nov-2024,SR,B,50.0700,-5.1890,50.0700,-5.1890,8,,401677749,-133
Sunbeetle,225760,UT,DS,2,0,0,48,48,06:17:04 09-Nov-2024,A1,B,50.0910,-5.1786,50.0910,-5.1786,8,,401677744,-125
Sunbeetle,225760,UT,DS,1,0,0,,,06:52:31 09-Nov-2024,CS,B,50.0943,-5.1775,50.0943,-5.1775,8,,401677745,-140
Sunbeetle,225760,UT,DS,1,0,0,,,12:10:14 09-Nov-2024,NN,B,50.1104,-5.1501,50.1104,-5.1501,8,,401677760,-126
Sunbeetle,225760,UT,DS,2,0,0,62,62,12:27:14 09-Nov-2024,MC,B,50.0904,-5.2003,50.0904,-5.2003,6,,401677752,-120
Sunbeetle,225760,UT,DS,2,0,1,165,165,16:30:26 09-Nov-2024,CS,B,50.0899,-5.2020,50.0899,-5.2020,8,,401677753,-122
