DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Sunbeetle,225760,UT,19:21:22 07-Nov-2024,,,,,,CRC,16:02:24 07-Nov-2024,Fast-GPS,133,158,1,48,4,87,6,81,122,193,103,57,224,197,91,100,203,134,133,158,106,170,0,,,,,,,,,
Sunbeetle,225760,UT,19:22:07 07-Nov-2024,,,,,,CRC ee5f.8cdd,,,29,217,23,194,206,240,0,15,130,2,2,107,0,0,124,16,16,19,200,,,,,,,,,,,,,
Sunbeetle,225760,UT,11:38:21 08-Nov-2024,,,,,,CRC,06:51:35 08-Nov-2024,Fast-GPS,165,160,217,198,153,57,3,138,138,183,236,248,124,224,98,74,197,212,111,209,173,48,101,150,245,85,85,,,,,
Sunbeetle,225760,UT,17:06:14 08-Nov-2024,,,1,50.0954,-5.2027,CRC 55e7.eaf0,13:00:00 08-Nov-2024,CumulativeDist,10,177,57,194,208,208,0,15,130,2,6,115,64,0,44,16,84,150,210,,,,,,,,,,,,,
Sunbeetle,225760,UT,21:25:13 08-Nov-2024,,,B,50.0961,-5.2066,CRC,,Fast-GPS,133,130,47,134,0,149,214,61,235,206,58,14,156,185,159,74,228,197,197,162,44,152,0,,,,,,,,,
Sunbeetle,225760,UT,05:33:40 09-Nov-2024,,,B,50.0700,-5.1890,CRC,02:00:00 09-Nov-2024,Fast-GPS,101,164,64,0,25,44,29,152,70,171,66,65,11,23,134,52,45,37,134,128,6,0,0,,,,,,,,,
Sunbeetle,225760,UT,16:29:04 09-Nov-2024,,,B,50.0899,-5.2020,CRC 4c63.45fd,09:00:00 09-Nov-2024,CumulativeDist,9,145,24,194,210,144,0,15,130,3,3,248,16,21,236,151,251,236,60,,,,,,,,,,,,,
Sunbeetle,225760,UT,22:16:12 09-Nov-2024,,,B,50.0905,-5.2474,CRC,18:45:15 09-Nov-2024,Fast-GPS,165,166,86,158,6,115,158,250,99,111,111,206,98,172,166,183,206,79,178,166,47,85,33,60,207,131,192,,,,,
Sunbeetle,225760,UT,18:03:47 10-Nov-2024,,,B,50.0923,-5.2021,CRC ee24.1fa4,,,29,213,9,2,212,208,0,15,130,2,2,126,0,0,124,16,16,19,233,,,,,,,,,,,,,
Sunbeetle,225760,UT,05:29:58 11-Nov-2024,,,2,50.0914,-5.1994,CRC,03:02:54 11-Nov-2024,Fast-GPS,101,172,97,108,31,181,244,25,77,143,91,209,20,202,204,188,45,101,119,176,0,0,0,,,,,,,,,
Sunbeetle,225760,UT,10:04:27 11-Nov-2024,,,B,50.0937,-5.2033,CRC e904.fb2f,07:00:00 11-Nov-2024,CumulativeDist,29,49,1,2,214,112,0,15,130,2,108,207,18,91,163,100,165,155,21,,,,,,,,,,,,,
Sunbeetle,225760,UT,10:47:21 11-Nov-2024,,,B,50.0927,-5.2071,CRC e904.1ada,07:00:00 11-Nov-2024,CumulativeDist,29,49,1,2,214,112,0,15,130,2,88,90,205,6,6,63,24,209,243,,,,,,,,,,,,,
Sunbeetle,225760,UT,11:02:42 11-Nov-2024,,,B,50.0934,-5.2065,CRC 5027.a332,09:00:00 11-Nov-2024,CumulativeDist,10,17,9,194,214,144,0,9,226,224,191,138,239,32,160,151,140,225,190,,,,,,,,,,,,,
Sunbeetle,225760,UT,18:22:38 11-Nov-2024,,,B,50.0897,-5.2104,CRC,16:35:32 11-Nov-2024,Fast-GPS,133,174,17,192,201,76,38,3,232,0,215,44,100,250,34,238,228,24,37,174,11,74,64,,,,,,,,,
Sunbeetle,225760,UT,18:23:23 11-Nov-2024,,,B,50.0897,-5.2104,CRC,17:49:21 11-Nov-2024,Fast-GPS,197,174,56,170,103,82,37,200,105,224,18,176,97,90,210,114,141,253,29,183,246,219,141,193,154,164,197,,,,,
Sunbeetle,225760,UT,06:23:28 12-Nov-2024,,,B,50.1017,-5.1471,CRC,05:35:50 12-Nov-2024,Fast-GPS,165,176,177,228,17,55,17,217,13,73,93,98,65,176,41,20,2,90,51,28,58,244,70,202,91,87,226,,,,,
Sunbeetle,225760,UT,09:42:34 12-Nov-2024,,,B,50.0807,-5.1986,CRC cd05.ef04,,,25,177,1,66,222,83,47,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,225760,UT,11:23:55 12-Nov-2024,,,B,50.0877,-5.2073,CRC c7ae.1a1a,,,24,241,43,130,217,12,137,224,33,134,120,203,230,173,251,19,249,183,23,,,,,,,,,,,,,
Sunbeetle,225760,UT,13:08:42 12-Nov-2024,,,B,50.0787,-5.2126,CRC,11:00:01 12-Nov-2024,Fast-GPS,229,177,96,2,42,8,214,143,212,247,205,199,117,38,194,100,144,131,143,183,74,168,135,28,234,230,216,194,169,0,4,
Sunbeetle,225760,UT,13:10:11 12-Nov-2024,,,B,50.0787,-5.2126,CRC,13:08:42 12-Nov-2024,Fast-GPS,197,177,164,84,125,0,140,132,73,176,145,7,63,162,190,164,111,18,24,191,86,244,90,22,198,148,88,,,,,
Sunbeetle,225760,UT,20:06:51 13-Nov-2024,,,B,50.0920,-5.2438,CRC 6d25.ad26,17:00:00 13-Nov-2024,CumulativeDist,13,177,9,66,219,16,0,15,162,2,2,14,0,0,0,,,,,,,,,,,,,,,,,
Sunbeetle,225760,UT,08:14:20 14-Nov-2024,,,A,50.0912,-5.2044,CRC 0c05.cfcd,03:00:00 14-Nov-2024,CumulativeDist,1,145,1,66,220,48,16,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,225760,UT,09:01:46 14-Nov-2024,,,B,50.0860,-5.2016,CRC,07:36:32 14-Nov-2024,Fast-GPS,101,184,242,64,61,88,196,239,246,90,133,195,0,100,228,251,45,201,6,208,0,0,0,,,,,,,,,
Sunbeetle,225760,UT,09:49:22 14-Nov-2024,,,B,50.0844,-5.2017,CRC,07:36:32 14-Nov-2024,Fast-GPS,101,184,242,64,60,88,196,239,247,90,164,151,147,201,254,159,221,201,190,150,48,96,14,,,,,,,,,
Sunbeetle,225760,UT,16:24:32 14-Nov-2024,,,B,50.0808,-5.2075,CRC,01:00:01 14-Nov-2024,Fast-GPS,165,184,32,2,12,184,165,176,53,245,181,147,174,76,28,59,40,195,54,194,9,214,109,191,194,154,82,,,,,
Sunbeetle,225760,UT,18:27:11 14-Nov-2024,,,B,50.0781,-5.2086,CRC,12:47:05 28-Oct-2024,Fast-GPS,165,113,151,138,124,57,39,34,204,193,175,139,34,24,111,144,109,98,55,162,168,191,73,162,128,16,0,,,,,
Sunbeetle,225760,UT,12:27:36 15-Nov-2024,,,B,50.1048,-5.2284,CRC 8b4e.5157,07:00:00 15-Nov-2024,CumulativeDist,17,113,19,130,222,112,0,15,130,2,2,105,0,0,92,26,23,138,71,,,,,,,,,,,,,
