Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Sunbeetle,07-Nov-2024,15:43:24,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,12,3171,,,,19,11674,,,,24,15680,,,,25,6510,,,,32,20140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,08-Nov-2024,04:46:49,3,1.000000,,,0,5,,,,,,,,,,,,,,,15,3,13232,,,,4,31962,,,,17,29627,,,,21,12622,,,,19,13938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,08-Nov-2024,05:43:11,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,2,19702,,,,9,16645,,,,4,16702,,,,17,28778,,,,19,29270,,,,3,24589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,08-Nov-2024,06:49:35,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,19,4755,,,,9,12379,,,,17,26203,,,,4,9148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,08-Nov-2024,08:59:00,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,11,11718,,,,7,32353,,,,5,22140,,,,6,27586,,,,20,32382,,,,30,6419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,08-Nov-2024,12:05:28,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,30,2836,,,,22,32006,,,,15,2702,,,,14,3917,,,,13,16852,,,,5,12853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,08-Nov-2024,16:17:19,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,32,14729,,,,25,23565,,,,12,1524,,,,24,29378,,,,10,18078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,08-Nov-2024,17:31:03,2,1.000000,,,0,5,,,,,,,,,,,,,,,15,32,2389,,,,12,15851,,,,25,25504,,,,29,7353,,,,28,23644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,09-Nov-2024,02:00:00,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,3,5825,,,,27,6214,,,,21,13348,,,,2,2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,09-Nov-2024,09:15:27,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,9,4873,,,,20,15780,,,,11,21975,,,,7,12403,,,,30,9982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
