DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Sunbeetle,225760,UT,17:08:30 08-Nov-2024,Argos,1,50.0954,-5.2027,520,2005,135,110,,,,,,
Sunbeetle,225760,UT,18:15:42 08-Nov-2024,Argos,B,50.0932,-5.2017,1661,3045,906,87,,,,,,
Sunbeetle,225760,UT,21:25:57 08-Nov-2024,Argos,B,50.0961,-5.2066,1758,9363,330,64,,,,,,
Sunbeetle,225760,UT,22:07:57 08-Nov-2024,Argos,2,50.0912,-5.2040,469,9082,24,76,,,,,,
Sunbeetle,225760,UT,05:34:04 09-Nov-2024,Argos,B,50.0700,-5.1890,2317,6914,776,75,,,,,,
Sunbeetle,225760,UT,06:17:04 09-Nov-2024,Argos,B,50.0910,-5.1786,1697,91703,31,86,,,,,,
Sunbeetle,225760,UT,06:52:31 09-Nov-2024,Argos,B,50.0943,-5.1775,1660,7725,356,89,,,,,,
Sunbeetle,225760,UT,12:10:14 09-Nov-2024,Argos,B,50.1104,-5.1501,2835,6349,1265,88,,,,,,
Sunbeetle,225760,UT,12:27:14 09-Nov-2024,Argos,B,50.0904,-5.2003,1947,7686,493,151,,,,,,
Sunbeetle,225760,UT,16:30:26 09-Nov-2024,Argos,B,50.0899,-5.2020,1410,64785,30,92,,,,,,
Sunbeetle,225760,UT,19:23:47 09-Nov-2024,Argos,B,50.0931,-5.2110,1825,43872,75,97,,,,,,
Sunbeetle,225760,UT,22:16:11 09-Nov-2024,Argos,B,50.0905,-5.2474,2157,5004,929,104,,,,,,
Sunbeetle,225760,UT,06:45:50 10-Nov-2024,Argos,B,50.0784,-5.2377,2994,7509,1193,79,,,,,,
Sunbeetle,225760,UT,11:53:56 10-Nov-2024,Argos,B,50.0911,-5.2340,2983,12945,687,96,,,,,,
Sunbeetle,225760,UT,12:05:15 10-Nov-2024,Argos,B,50.0895,-5.2288,3012,12685,715,95,,,,,,
Sunbeetle,225760,UT,13:41:50 10-Nov-2024,Argos,B,50.0884,-5.2054,2501,5801,1078,92,,,,,,
Sunbeetle,225760,UT,17:24:13 10-Nov-2024,Argos,B,50.0909,-5.1928,2729,5752,1294,76,,,,,,
Sunbeetle,225760,UT,18:02:58 10-Nov-2024,Argos,B,50.0923,-5.2021,1779,40088,78,74,,,,,,
Sunbeetle,225760,UT,18:41:43 10-Nov-2024,Argos,B,50.0858,-5.2183,871,24636,30,66,,,,,,
Sunbeetle,225760,UT,21:01:08 10-Nov-2024,Argos,A,50.0855,-5.2339,1324,83102,21,79,,,,,,
Sunbeetle,225760,UT,05:29:58 11-Nov-2024,Argos,2,50.0914,-5.1994,384,4364,33,91,,,,,,
Sunbeetle,225760,UT,06:12:50 11-Nov-2024,Argos,3,50.0912,-5.2049,164,1211,22,91,,,,,,
Sunbeetle,225760,UT,06:54:28 11-Nov-2024,Argos,B,50.0908,-5.2087,862,1445,513,94,,,,,,
Sunbeetle,225760,UT,10:03:39 11-Nov-2024,Argos,B,50.0937,-5.2033,1119,11407,109,117,,,,,,
Sunbeetle,225760,UT,10:47:20 11-Nov-2024,Argos,B,50.0927,-5.2071,1350,3358,542,118,,,,,,
Sunbeetle,225760,UT,11:02:41 11-Nov-2024,Argos,B,50.0934,-5.2065,1411,3191,623,114,,,,,,
Sunbeetle,225760,UT,17:37:56 11-Nov-2024,Argos,B,50.0950,-5.2389,2521,6232,1019,88,,,,,,
