Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
17343,225760,23,NK, ,1,07-Nov-2024,19:20:37,,,,401650000,-133,,0,07-Nov-2024,19:20:37,,,90,,,,,,,133,157,245,176,96,198,57,173,154,195,212,12,153,110,138,23,4,234,197,158,106,72,0,,,,,,,,,
17343,225760,23,NK, ,1,07-Nov-2024,19:20:37,,,,401650000,-133,,0,07-Nov-2024,19:21:22,,,90,,,,,,,133,158,1,48,4,87,6,81,122,193,103,57,224,197,91,100,203,134,133,158,106,170,0,,,,,,,,,
17343,225760,19,NK, ,1,07-Nov-2024,19:20:37,,,,401650000,-133,,0,07-Nov-2024,19:22:07,,,90,,,,,,,29,217,23,194,206,240,0,15,130,2,2,107,0,0,124,16,16,19,200,,,,,,,,,,,,,
17343,225760,7,CS, ,2,08-Nov-2024,05:52:06,,,,401650000,-128,,0,08-Nov-2024,05:52:06,,,45,,,,,,,25,145,2,66,207,112,0,,,,,,,,,,,,,,,,,,,,,,,,,
17343,225760,7,CS, ,2,08-Nov-2024,05:52:06,,,,401650000,-128,,0,08-Nov-2024,05:52:51,,,45,,,,,,,26,145,0,66,208,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
17343,225760,23,NK, ,3,08-Nov-2024,07:32:55,,,,401650000,-127,,0,08-Nov-2024,07:32:55,,,135,,,,,,,133,160,151,98,27,59,2,124,218,143,59,186,177,78,225,145,155,103,37,160,240,108,0,,,,,,,,,
17343,225760,7,NK, ,3,08-Nov-2024,07:32:55,,,,401650000,-127,,0,08-Nov-2024,07:33:40,,,135,,,,,,,1,145,0,2,208,48,0,,,,,,,,,,,,,,,,,,,,,,,,,
17343,225760,7,NK, ,3,08-Nov-2024,07:32:55,,,,401650000,-127,,0,08-Nov-2024,07:35:10,,,135,,,,,,,4,145,0,2,208,80,0,,,,,,,,,,,,,,,,,,,,,,,,,
17343,225760,23,CS, ,4,08-Nov-2024,07:32:55,,,,401650000,-130,,0,08-Nov-2024,07:32:55,,,45,,,,,,,133,160,151,98,27,59,2,124,218,143,59,186,177,78,225,145,155,103,37,160,240,110,0,,,,,,,,,
17343,225760,7,CS, ,4,08-Nov-2024,07:32:55,,,,401650000,-130,,0,08-Nov-2024,07:33:40,,,45,,,,,,,1,145,0,2,208,48,0,,,,,,,,,,,,,,,,,,,,,,,,,
17343,225760,7,MC, ,5,08-Nov-2024,09:26:00,,,,401650000,-119,,0,08-Nov-2024,09:26:00,,,,,,,,,,26,145,0,66,208,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
17343,225760,27,NP, ,6,08-Nov-2024,09:58:05,,,,401650000,-121,,0,08-Nov-2024,09:58:05,,,,,,,,,,165,160,181,150,20,207,100,193,5,36,19,232,240,106,177,127,159,37,99,192,24,180,39,161,0,0,0,,,,,
17343,225760,23,MC, ,7,08-Nov-2024,11:07:39,,,,401650000,-118,,0,08-Nov-2024,11:07:39,,,,,,,,,,133,160,151,98,27,59,2,124,218,143,59,186,177,78,225,139,155,103,37,161,99,206,0,,,,,,,,,
17343,225760,27,NP, ,8,08-Nov-2024,11:38:21,,,,401650000,-136,,0,08-Nov-2024,11:38:21,,,,,,,,,,165,160,217,198,153,57,3,138,138,183,236,248,124,224,98,74,197,212,111,209,173,48,101,150,245,85,85,,,,,
17343,225760,27,NN, ,9,08-Nov-2024,12:21:30,,,,401650000,-125,,0,08-Nov-2024,12:21:30,,,127,,,,,,,165,160,216,198,153,41,52,176,91,142,101,178,35,188,231,232,54,209,65,121,100,180,49,87,64,0,0,,,,,
17343,225760,27,NN, ,9,08-Nov-2024,12:21:30,,,,401650000,-125,,0,08-Nov-2024,12:23:37,,,127,,,,,,,165,161,29,128,90,220,99,254,97,45,103,195,107,194,89,78,167,231,254,50,36,180,49,121,64,0,0,,,,,
17343,225760,19,CS,1,10,08-Nov-2024,17:08:30,50.0954,-5.2027,,401677755,-120,60,0,08-Nov-2024,17:06:14,50.0954,-5.2027,364,520,2005,135,110,,,10,177,57,194,208,208,0,15,130,2,6,115,64,0,44,16,84,150,210,,,,,,,,,,,,,
17343,225760,19,CS,1,10,08-Nov-2024,17:08:30,50.0954,-5.2027,,401677755,-120,60,0,08-Nov-2024,17:07:18,50.0954,-5.2027,364,520,2005,135,110,,,1,177,24,66,208,144,0,15,130,2,2,118,0,0,124,16,16,19,224,,,,,,,,,,,,,
