DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Sunbeetle,225760,UT,08:51:24 03-Dec-2024,User,,50.1121,-5.4422,,,,,,,,,,
Sunbeetle,225760,UT,10:05:27.195000 03-Dec-2024,FastGPS,4,50.1110,-5.4467,,,,,,,,,,
Sunbeetle,225760,UT,11:34:50 03-Dec-2024,Argos,B,50.0900,-5.2124,2999,6750,1332,92,,,,,,
Sunbeetle,225760,UT,11:34:50 03-Dec-2024,Argos,B,50.0903,-5.2123,2981,6837,1299,91,,,,,,
Sunbeetle,225760,UT,12:01:36 03-Dec-2024,Argos,B,50.0939,-5.2896,2697,4938,1472,91,,,,,,
Sunbeetle,225760,UT,12:25:29 03-Dec-2024,Argos,B,50.0984,-5.3017,2685,4754,1516,88,,,,,,
Sunbeetle,225760,UT,13:09:14 03-Dec-2024,Argos,B,50.1021,-5.3016,2734,5198,1438,88,,,,,,
Sunbeetle,225760,UT,13:44:47 03-Dec-2024,Argos,B,50.1018,-5.3016,2813,5449,1451,88,,,,,,
Sunbeetle,225760,UT,20:12:58 03-Dec-2024,Argos,B,50.1054,-5.3975,3499,4929,2484,89,,,,,,
Sunbeetle,225760,UT,20:13:00.504000 03-Dec-2024,FastGPS,7,50.1264,-5.5207,,,,,,,,,,
Sunbeetle,225760,UT,21:42:01 03-Dec-2024,Argos,B,50.0780,-5.4754,3337,4487,2481,115,,,,,,
Sunbeetle,225760,UT,22:18:25 03-Dec-2024,Argos,B,50.0811,-5.4829,2478,8534,719,104,,,,,,
Sunbeetle,225760,UT,22:59:55 03-Dec-2024,Argos,B,50.0816,-5.4818,1179,6092,228,13,,,,,,
Sunbeetle,225760,UT,23:37:19 03-Dec-2024,Argos,B,50.0793,-5.4899,1424,2014,1006,19,,,,,,
Sunbeetle,225760,UT,05:42:49 04-Dec-2024,Argos,B,50.0642,-5.5624,2695,4286,1693,72,,,,,,
Sunbeetle,225760,UT,06:51:45.818884 04-Dec-2024,FastGPS,5,50.1075,-5.4808,,,,,,,,,,
Sunbeetle,225760,UT,09:38:07 04-Dec-2024,Argos,A,50.1269,-5.4495,152,346,66,78,,,,,,
Sunbeetle,225760,UT,10:45:26.391086 04-Dec-2024,FastGPS,4,50.1180,-5.4784,,,,,,,,,,
Sunbeetle,225760,UT,11:51:03 04-Dec-2024,Argos,B,50.1068,-5.4695,1319,3215,540,98,,,,,,
Sunbeetle,225760,UT,11:54:20.220993 04-Dec-2024,FastGPS,4,50.0939,-5.4999,,,,,,,,,,
Sunbeetle,225760,UT,12:05:13 04-Dec-2024,Argos,B,50.0925,-5.5709,3081,16883,562,92,,,,,,
Sunbeetle,225760,UT,12:53:42 04-Dec-2024,Argos,B,50.0958,-5.5664,2413,54776,106,103,,,,,,
Sunbeetle,225760,UT,13:29:15 04-Dec-2024,Argos,A,50.0872,-5.4479,662,1133,386,53,,,,,,
Sunbeetle,225760,UT,13:34:11 04-Dec-2024,Argos,B,50.0869,-5.4435,1646,2415,1121,78,,,,,,
Sunbeetle,225760,UT,15:10:02 04-Dec-2024,Argos,B,50.0877,-5.3545,4211,6915,2563,94,,,,,,
Sunbeetle,225760,UT,17:33:36 04-Dec-2024,Argos,A,50.0986,-5.3929,241,1424,40,79,,,,,,
Sunbeetle,225760,UT,17:38:17 04-Dec-2024,Argos,B,50.0988,-5.3925,481,930,248,83,,,,,,
