DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
Wirligig,225754,Transmission,UT,19:00:00 07-Feb-2025,20:00:00 07-Feb-2025,depth,shallow,0.000000,21.3,747,783,21,,1.000000,,,3.000000,,5.000000
Wirligig,225754,Transmission,UT,19:00:00 07-Feb-2025,20:00:00 07-Feb-2025,depth,deep,,66.9,2391,2427,21,12.000000,,17.000000,22.000000,,26.000000,31.000000
Wirligig,225754,Transmission,UT,19:00:00 07-Feb-2025,20:00:00 07-Feb-2025,depth,dry,,11.8,407,443,,,,,,,,
Wirligig,225754,Transmission,UT,20:00:00 07-Feb-2025,21:00:00 07-Feb-2025,depth,shallow,0.000000,25.2,889,925,20,,1.000000,,,1.000000,,5.000000
Wirligig,225754,Transmission,UT,20:00:00 07-Feb-2025,21:00:00 07-Feb-2025,depth,deep,,66.9,2391,2427,20,9.000000,,13.000000,17.000000,,19.000000,28.000000
Wirligig,225754,Transmission,UT,20:00:00 07-Feb-2025,21:00:00 07-Feb-2025,depth,dry,,7.9,266,302,,,,,,,,
Wirligig,225754,Transmission,UT,21:00:00 07-Feb-2025,22:00:00 07-Feb-2025,depth,shallow,0.000000,28.3,1002,1038,25,,1.000000,,,3.000000,,5.000000
Wirligig,225754,Transmission,UT,21:00:00 07-Feb-2025,22:00:00 07-Feb-2025,depth,deep,,63.0,2250,2286,25,9.000000,,10.000000,12.000000,,14.000000,17.000000
Wirligig,225754,Transmission,UT,21:00:00 07-Feb-2025,22:00:00 07-Feb-2025,depth,dry,,8.7,295,331,,,,,,,,
Wirligig,225754,Transmission,UT,22:00:00 07-Feb-2025,23:00:00 07-Feb-2025,depth,shallow,0.000000,74.0,2647,2683,19,,1.000000,,,4.000000,,5.000000
Wirligig,225754,Transmission,UT,22:00:00 07-Feb-2025,23:00:00 07-Feb-2025,depth,deep,,18.1,634,670,19,6.000000,,6.000000,6.000000,,9.000000,11.000000
Wirligig,225754,Transmission,UT,22:00:00 07-Feb-2025,23:00:00 07-Feb-2025,depth,dry,,7.9,266,302,,,,,,,,
Wirligig,225754,Transmission,UT,01:00:00 08-Feb-2025,02:00:00 08-Feb-2025,depth,shallow,0.000000,45.7,1626,1662,19,,1.000000,,,2.000000,,5.000000
