DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
Wirligig,225754,0.500000,UT,,21:51:26 07-Feb-2025,21:51:26 07-Feb-2025,0,,,,CRC,,,,834,3.350,,,9.40,0.5,,,,,,,,,,,,,245,1,,40,,,,,,,52,76,12,0,9,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,20:36:37 09-Feb-2025,20:36:36 09-Feb-2025,0,A,50.1073,-5.5168,CRC,,,,1434,3.325,,,9.55,0.5,,,,,,,,,,,,,197,23,255,40,,,,,,,46,142,55,0,9,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,20:36:37 09-Feb-2025,20:36:37 09-Feb-2025,0,A,50.1137,-5.5153,CRC,,,,1434,3.325,,,9.55,0.5,,,,,,,,,,,,,197,23,255,40,,,,,,,46,142,55,0,9,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,22:05:03 09-Feb-2025,22:05:03 09-Feb-2025,0,B,50.1103,-5.5188,CRC,,,,1459,3.325,,,9.60,0.5,,,,,,,,,,,,,118,23,255,40,,,,,,,42,143,55,0,17,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,10:52:10 10-Feb-2025,10:52:10 10-Feb-2025,0,B,50.1142,-5.4637,CRC,,,,1584,3.350,,,9.10,0.5,,,,,,,,,,,,,224,22,255,32,,,,,,,62,164,67,0,22,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,19:22:51 11-Feb-2025,19:22:51 11-Feb-2025,0,2,50.0644,-5.4824,CRC,,,,2034,3.300,,,9.85,0.0,,,,,,,,,,,,,170,22,255,40,,,,,,,60,205,90,0,12,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,23:50:51 11-Feb-2025,23:50:50 11-Feb-2025,0,2,50.1027,-5.5247,CRC,,,,2109,3.300,,,8.80,0.0,,,,,,,,,,,,,168,22,255,40,,,,,,,38,211,92,0,19,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,11:36:08 13-Feb-2025,11:36:08 13-Feb-2025,0,A,50.1052,-5.5942,CRC,,,,2409,3.350,,,8.20,0.0,,,,,,,,,,,,,231,22,255,40,,,,,,,20,272,147,0,12,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,07:37:19 14-Feb-2025,07:37:19 14-Feb-2025,0,B,50.1205,-5.5234,CRC,,,,2609,3.325,,,8.60,0.0,,,,,,,,,,,,,169,22,255,40,,,,,,,38,302,167,0,31,,,,,,15:00:00 07-Feb-2025,,,
Wirligig,225754,0.500000,UT,,23:44:30 15-Feb-2025,23:44:30 15-Feb-2025,0,B,50.0749,-5.7916,CRC,,,,3059,3.300,,,10.05,0.0,,,,,,,,,,,,,173,22,255,40,,,,,,,76,366,206,0,25,,,,,,15:00:00 07-Feb-2025,,,
